id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound
d_main_08_02_1,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_1,True,rapi,3,idle,anis,1,void,neon,13,idle,TechIndoor,5,1,3.0,bgm_theruinedcity,,
d_main_08_02_2,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_2,True,,3,idle,,1,void,,13,idle,,1,12,1.0,,,
d_main_08_02_3,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_3,True,,3,idle,,1,worry,,13,idle,,12,12,1.0,,,
d_main_08_02_4,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_4,True,,3,idle,,1,worry,,13,worry,,12,12,1.0,,,
d_main_08_02_5,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_5,True,,3,idle,,1,worry,,13,worry,,12,12,1.0,,,
d_main_08_02_6,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_6,True,,3,idle,,1,void,,13,idle,,12,10,1.0,,,
d_main_08_02_7,d_main_08_02,Self,anis,Self,Locale_MainScenario:d_main_08_02_7,False,,3,idle,,1,void,,13,idle,,10,10,1.0,,,
d_main_08_02_8,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_8,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_main_08_02_9,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_9,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_main_08_02_10,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_10,True,,3,idle,,1,worry,,13,worry,,10,12,1.0,,,
d_main_08_02_11,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_11,True,,3,idle,,1,idle,,13,worry,,12,12,1.0,,,
d_main_08_02_12,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_12,True,,3,idle,,1,idle,,13,surprise,,12,12,1.0,,,
d_main_08_02_13,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_13,True,,3,idle,,1,idle,,13,surprise,,12,12,1.0,,,
d_main_08_02_14,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_14,True,,3,idle,,1,idle,,13,surprise,,12,12,1.0,,,
d_main_08_02_15,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_15,True,,3,idle,,1,void,,13,idle,,12,10,1.0,,,
d_main_08_02_16,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_16,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_main_08_02_17,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_17,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_main_08_02_18,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_18,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,
d_main_08_02_19,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_19,True,,3,idle,,1,worry,,13,surprise,,S_130,S_130,1.0,,,
d_main_08_02_20,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_20,False,,3,idle,,1,sad,,13,surprise,,S_130,10,2.0,,,
d_main_08_02_21,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_21,True,,3,idle,,1,sad,,13,angry,,10,12,1.0,,,
d_main_08_02_22,d_main_08_02,Narration,neon,Narration,Locale_MainScenario:d_main_08_02_22,False,,3,idle,,1,sad,,13,angry,,12,12,1.0,,m_main_08_02_01,sfx_scn_phonevibration
d_main_08_02_23,d_main_08_02,Speech,anis,anis,Locale_MainScenario:d_main_08_02_23,True,,3,idle,,1,angry,,13,angry,,12,10,0.5,,,
d_main_08_02_24,d_main_08_02,Speech,neon,neon,Locale_MainScenario:d_main_08_02_24,True,,3,idle,,1,angry,,13,angry,,10,S_130,0.5,,m_main_08_02_02,
d_main_08_02_25,d_main_08_02,Self,neon,Self,Locale_MainScenario:d_main_08_02_25,False,,3,idle,,1,angry,,13,angry,,S_130,S_130,1.0,,,
d_main_08_02_26,d_main_08_02,Speech,rapi,rapi,Locale_MainScenario:d_main_08_02_26,True,,3,think,,1,angry,,13,angry,,30,30,0.5,,,
