id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,fade,characters/7/hide_char_id
d_main_28_09_e_1,d_main_28_09_e,Narration,liveryn,Locale_MainScenario:d_main_28_09_e_1,False,rapi,7,idle,neon,5,idle,anis,3,idle,hammering,1,idle,elegg,13,idle,liveryn,15,idle,CrystalField_2,14,14,1.0,sfx_scn_crystalgrowuplarge,bgm_emergency,Low_2,,,,,,,,,,
d_main_28_09_e_2,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_2,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,angry,,14,14,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_3,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_3,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,angry,,14,14,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_4,d_main_28_09_e,Narration,elegg,Locale_MainScenario:d_main_28_09_e_4,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,angry,,14,16,1.0,sfx_scn_toolpasslight,,,,,,,,,,,,
d_main_28_09_e_5,d_main_28_09_e,Narration,elegg,Locale_MainScenario:d_main_28_09_e_5,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,angry,,16,16,1.0,sfx_scn_crystalgrowuplarge2,,Low_2,,,,,,,,,,
d_main_28_09_e_6,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_6,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,angry,,16,14,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_7,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_7,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,angry,,14,14,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_8,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_8,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,angry,,14,14,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_9,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,sad,,14,150,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_10,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,delight,,15,sad,,150,150,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_11,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_11,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad,,150,S_130,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_12,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_12,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad,,S_130,S_130,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_13,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_13,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,S_130,14,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_14,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_14,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,worry,,15,worry,,14,14,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_15,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_15,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,worry,,15,worry,,14,14,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_16,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_16,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,worry,,15,pain,,14,14,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_17,d_main_28_09_e,Speech,elegg,Locale_MainScenario:d_main_28_09_e_17,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,pain,,14,14,1.0,,,,elegg,,,,,,,,,
d_main_28_09_e_18,d_main_28_09_e,Speech,liveryn,Locale_MainScenario:d_main_28_09_e_18,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,14,14,1.0,,,,liveryn,,,,,,,,,
d_main_28_09_e_19,d_main_28_09_e,Speech,anis,Locale_MainScenario:d_main_28_09_e_19,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,30,30,1.0,,,,anis,,,,,,,,,
d_main_28_09_e_20,d_main_28_09_e,Self,anis,Locale_MainScenario:d_main_28_09_e_20,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,30,30,1.0,,,,,,,,,,,,,
d_main_28_09_e_21,d_main_28_09_e,Speech,anis,Locale_MainScenario:d_main_28_09_e_21,True,,7,shy,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,30,30,1.0,,,,anis,,,,,,,,,
d_main_28_09_e_22,d_main_28_09_e,Speech,anis,Locale_MainScenario:d_main_28_09_e_22,True,,7,shy,,5,idle,,3,delight,,1,idle,,13,idle,,15,worry,,30,4,1.0,,,,anis,,,,,,,,,
d_main_28_09_e_23,d_main_28_09_e,Speech,neon,Locale_MainScenario:d_main_28_09_e_23,True,,7,shy,,5,idle,,3,delight,,1,idle,,13,idle,,15,worry,,4,4,1.0,,,,neon,,,,,,,,,
d_main_28_09_e_24,d_main_28_09_e,Speech,rapi,Locale_MainScenario:d_main_28_09_e_24,True,,7,shy,,5,idle,,3,delight,,1,idle,,13,idle,,15,worry,,4,6,1.0,,,,rapi,,,,,,,,,
d_main_28_09_e_25,d_main_28_09_e,Self,rapi,Locale_MainScenario:d_main_28_09_e_25,False,,7,shy,,5,idle,,3,delight,,1,idle,,13,idle,,15,worry,,6,6,1.0,,,,,,,,,,,,,
d_main_28_09_e_26,d_main_28_09_e,Speech,hammering,Locale_MainScenario:d_main_28_09_e_26,True,,7,shy,,5,idle,,3,idle,,1,smile,,13,idle,,15,worry,,6,10,1.0,,,,hammering,,,,,,,,,
d_main_28_09_e_27,d_main_28_09_e,Speech,hammering,Locale_MainScenario:d_main_28_09_e_27,True,,7,idle,,5,idle,,3,idle,,1,smile,,13,idle,,15,worry,,10,10,1.0,,,,hammering,,,,,,,,,
