id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_29_07_s_1,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_1,True,shifty,OP_leftup,idle,trony_op_r,OP_rightup,idle,anis,3,void,rapi,1,idle,elegg,13,idle,CrystalCity,13,S_130,1.0,bgm_chapter29_field_drifting,,,,,,,,,
d_main_29_07_s_2,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_2,True,,OP_leftup,idle,,OP_rightup,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,,,,,
d_main_29_07_s_3,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_3,True,,OP_leftup,idle,,OP_rightup,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,,,,,
d_main_29_07_s_4,d_main_29_07_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_07_s_4,True,,OP_leftup,idle,,OP_rightup,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,,,,,
d_main_29_07_s_5,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_5,True,,OP_leftup,idle,,OP_rightup,idle,,3,void,,1,idle,,13,idle,Crystalchunk,S_130,17,1.0,,shifty,trony_op_r,rapi,elegg,Grey,,,,
d_main_29_07_s_6,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_6,True,,,,,,,,3,void,,,,,,,,17,17,1.0,,,,,,Grey,,,,
d_main_29_07_s_7,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_7,True,,,,,,,,3,void,,,,,,,,17,17,1.0,,,,,,Grey,,,,
d_main_29_07_s_8,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_8,True,,,,,,,,3,void,,,,,,,,17,17,1.0,,,,,,Grey,,,,
d_main_29_07_s_9,d_main_29_07_s,Self,elegg,,Locale_MainScenario:d_main_29_07_s_9,True,,,,,,,,3,void,,,,,,,,17,17,1.0,,,,,,Grey,,,,
d_main_29_07_s_10,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_10,True,,,,,,,,3,void,rapi,1,idle,elegg,13,idle,CrystalCity,17,S_130,1.0,,,,,,,,,,
