id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1291_s_1,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_1,True,Desert_03,S_30,S_30,1.0,bgm_distress,neon,3,worry,anis,1,idle,rapi,13,idle
d_subquest_1291_s_2,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_2,True,,S_30,S_30,1.0,,,3,worry,,1,idle,,13,idle
d_subquest_1291_s_3,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_3,True,,S_30,S_30,1.0,,,3,angry,,1,idle,,13,idle
d_subquest_1291_s_4,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_4,True,,S_30,10,1.0,,,3,angry,,1,void,,13,idle
d_subquest_1291_s_5,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_5,True,,10,10,1.0,,,3,idle,,1,void,,13,idle
d_subquest_1291_s_6,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_6,True,,10,10,1.0,,,3,idle,,1,void,,13,idle
d_subquest_1291_s_7,d_subquest_1291_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1291_s_7,True,,130,130,1.0,,,3,idle,,1,idle,,13,think
d_subquest_1291_s_8,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_8,True,,S_30,S_30,1.0,,,3,no,,1,idle,,13,idle
d_subquest_1291_s_9,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_9,True,,S_30,S_30,1.0,,,3,no,,1,idle,,13,idle
d_subquest_1291_s_10,d_subquest_1291_s,Self,,Self,Locale_SubScenario:d_subquest_1291_s_10,False,,S_30,130,2.0,,,3,no,,1,idle,,13,idle
d_subquest_1291_s_11,d_subquest_1291_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1291_s_11,True,,130,130,1.0,,,3,idle,,1,idle,,13,think
d_subquest_1291_s_12,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_12,True,,2,2,1.0,,,3,idle,,1,delight,,13,think
d_subquest_1291_s_13,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_13,True,,2,2,1.0,,,3,delight,,1,delight,,13,think
d_subquest_1291_s_14,d_subquest_1291_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1291_s_14,False,,2,12,1.5,,,3,delight,,1,delight,,13,no
d_subquest_1291_s_15,d_subquest_1291_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1291_s_15,True,,12,12,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1291_s_16,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_16,True,,12,12,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1291_s_17,d_subquest_1291_s,Self,,Self,Locale_SubScenario:d_subquest_1291_s_17,False,,12,12,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1291_s_18,d_subquest_1291_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1291_s_18,True,,12,12,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1291_s_19,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_19,True,,3,3,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1291_s_20,d_subquest_1291_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1291_s_20,False,,3,S_30,2.0,,,3,surprise,,1,idle,,13,idle
d_subquest_1291_s_21,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_21,False,,S_30,10,1.0,,,3,surprise,,1,worry,,13,idle
d_subquest_1291_s_22,d_subquest_1291_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1291_s_22,True,,10,10,1.0,,,3,surprise,,1,worry,,13,idle
d_subquest_1291_s_24,d_subquest_1291_s,Self,,Self,Locale_SubScenario:d_subquest_1291_s_24,False,,10,10,1.0,,,3,surprise,,1,worry,,13,idle
d_subquest_1291_s_25,d_subquest_1291_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1291_s_25,True,,10,130,,,,3,surprise,,1,worry,,13,idle
