id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01,set_camera_shake,jump_target,play_sound
d_ex_armory_01_1,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_1,True,emma,1,idle,vesti,3,idle,Armory,2,2,1.0,bgm_distress,,,,,,
d_ex_armory_01_2,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_2,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_3,d_ex_armory_01,Self,emma,,Locale_SuddenStory:d_ex_armory_01_3,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_4,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_4,True,,1,delight,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_5,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_5,True,,1,idle,,3,idle,,2,1,2.0,,,,,,,
d_ex_armory_01_6,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_6,True,,1,idle,,3,idle,WasteLand_02,1,1,1.0,,emma,vesti,Grey,,,
d_ex_armory_01_7,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_7,True,,1,idle,,3,idle,Laboratory,1,1,1.0,,,,Grey,,,
d_ex_armory_01_8,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_8,True,,1,idle,,3,idle,,1,1,1.0,,,,Grey,,,
d_ex_armory_01_9,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_9,True,emma,1,surprise,vesti,3,idle,Armory,1,10,0.5,,,,,,,
d_ex_armory_01_10,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_10,False,,1,surprise,,3,idle,,S_30,S_30,1.0,,,,,Low_2,,
d_ex_armory_01_11,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_11,True,,1,delight,,3,idle,,S_30,2,1.0,,,,,,,
d_ex_armory_01_12,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_12,True,,1,delight,,3,angry,,2,2,1.0,,,,,,,
d_ex_armory_01_13,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_13,True,,1,special,,3,angry,,2,2,1.0,,,,,,,
d_ex_armory_01_14,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_14,True,,1,special,,3,angry,,2,2,1.0,,,,,,,
d_ex_armory_01_15,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_15,True,,1,special,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_16,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_16,True,,1,special,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_17,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_17,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_18,d_ex_armory_01,Choice,emma,,Locale_SuddenStory:d_ex_armory_01_18,True,,1,idle,,3,idle,,2,2,1.0,,,,,,d_ex_armory_01_20,
d_ex_armory_01_19,d_ex_armory_01,Choice,emma,,Locale_SuddenStory:d_ex_armory_01_19,True,,1,idle,,3,idle,,2,2,1.0,,,,,,d_ex_armory_01_28,
d_ex_armory_01_20,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_20,False,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_21,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_21,True,,1,delight,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_22,d_ex_armory_01,Self,emma,,Locale_SuddenStory:d_ex_armory_01_22,True,,1,delight,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_23,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_23,True,,1,idle,,3,idle,,2,10,2.0,,,,,,,
d_ex_armory_01_24,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_24,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_25,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_25,True,,1,delight,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_26,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_26,True,,1,delight,,3,angry,,10,2,1.0,,,,,,,
d_ex_armory_01_27,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_27,True,,1,surprise,,3,angry,,2,2,1.0,,,,,,d_ex_armory_01_42,
d_ex_armory_01_28,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_28,True,,1,surprise,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_29,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_29,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_30,d_ex_armory_01,Self,emma,,Locale_SuddenStory:d_ex_armory_01_30,True,,1,idle,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_31,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_31,True,,1,idle,,3,idle,,2,10,2.0,,,,,,,
d_ex_armory_01_32,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_32,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_33,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_33,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_34,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_34,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_35,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_35,True,,1,idle,,3,idle,,10,S_30,0.5,,,,,,,
d_ex_armory_01_36,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_36,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,
d_ex_armory_01_37,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_37,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,
d_ex_armory_01_38,d_ex_armory_01,Speech,vesti,vesti,Locale_SuddenStory:d_ex_armory_01_38,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,
d_ex_armory_01_39,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_39,False,,1,idle,,3,idle,,S_30,2,0.5,,,,,,,
d_ex_armory_01_40,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_40,True,,1,special,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_41,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_41,True,,1,special,,3,idle,,2,2,1.0,,,,,,d_ex_armory_01_42,
d_ex_armory_01_42,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_42,True,,1,angry,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_43,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_43,True,,1,angry,,3,idle,,2,2,1.0,,,,,,,
d_ex_armory_01_44,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_44,True,,1,idle,,3,idle,,2,10,1.0,,,,,,,
d_ex_armory_01_45,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_45,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
d_ex_armory_01_46,d_ex_armory_01,Speech,emma,emma,Locale_SuddenStory:d_ex_armory_01_46,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,
