id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_contents_tetratower_01_1,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_1,True,mustang,1,delight,MachineRoom,1,L_10,0.2,bgm_story_mustang,
d_contents_tetratower_01_2,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_2,True,,1,delight,,L_10,L_100,0.2,,Low_2
d_contents_tetratower_01_3,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_3,True,,1,delight,,L_100,L_100,1.0,,
d_contents_tetratower_01_4,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_4,True,,1,idle,,L_100,1,1.0,,
d_contents_tetratower_01_5,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_5,True,,1,idle,,1,1,1.0,,
d_contents_tetratower_01_6,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_6,True,,1,idle,,1,L_10,0.2,,Low_2
d_contents_tetratower_01_7,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_7,True,,1,idle,,L_10,L_10,1.0,,
d_contents_tetratower_01_8,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_8,True,,1,idle,,L_10,L_10,1.0,,
d_contents_tetratower_01_9,d_contents_tetratower_01,Self,mustang,,Locale_SubScenario:d_contents_tetratower_01_9,False,,1,idle,,L_10,L_10,1.0,,
d_contents_tetratower_01_10,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_10,True,,1,idle,,L_10,L_100,0.2,,Low_2
d_contents_tetratower_01_11,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_11,True,,1,good,,L_100,L_100,1.0,,
d_contents_tetratower_01_12,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_12,True,,1,good,,L_100,L_100,1.0,,
d_contents_tetratower_01_13,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_13,True,,1,good,,L_100,L_100,1.0,,
d_contents_tetratower_01_14,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_14,True,,1,good,,L_100,L_100,1.0,,
d_contents_tetratower_01_15,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_15,True,,1,good,,L_100,L_100,1.0,,
d_contents_tetratower_01_16,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_16,True,,1,idle,,L_100,1,1.0,,
d_contents_tetratower_01_17,d_contents_tetratower_01,Self,mustang,,Locale_SubScenario:d_contents_tetratower_01_17,False,,1,idle,,1,1,1.0,,
d_contents_tetratower_01_18,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_18,True,,1,delight,,1,1,1.0,,
d_contents_tetratower_01_19,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_19,True,,1,delight,,1,L_10,0.2,,
d_contents_tetratower_01_20,d_contents_tetratower_01,Speech,mustang,mustang,Locale_SubScenario:d_contents_tetratower_01_20,True,,1,delight,,L_10,L_100,0.2,,Low_2
