id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade
d_subquest_1112_1,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_1,True,anis,1,void,neon,3,idle,rapi,13,idle,Destroyedcity,2,2,1.0,bgm_story_backtonormal,
d_subquest_1112_2,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_2,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_3,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_3,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_4,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_4,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_5,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_5,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_6,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_6,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_7,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_7,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_8,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_8,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_9,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_9,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_10,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_10,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_11,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_11,True,,1,void,,3,surprise,,13,idle,,2,2,1.0,,
d_subquest_1112_12,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_12,False,,1,void,,3,surprise,,13,idle,,2,2,1.0,,
d_subquest_1112_13,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_13,True,,1,idle,,3,idle,,13,idle,,2,10,1.0,none,
d_subquest_1112_14,d_subquest_1112,Narration,,,Locale_SubScenario:d_subquest_1112_14,False,,1,idle,,3,idle,,13,idle,none,black,black,1.0,,black
d_subquest_1112_15,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_15,True,,1,worry,,3,surprise,,13,idle,DestroyedStreet,6,6,1.0,bgm_story_fairytalesend_if,
d_subquest_1112_16,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_16,True,,1,worry,,3,surprise,,13,idle,,6,2,1.0,,
d_subquest_1112_17,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_17,True,,1,worry,,3,surprise,,13,idle,,2,2,1.0,,
d_subquest_1112_18,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_18,True,,1,worry,,3,surprise,,13,idle,,2,2,1.0,,
d_subquest_1112_19,d_subquest_1112,Monologue,,,Locale_SubScenario:d_subquest_1112_19,False,,1,worry,,3,surprise,,13,idle,,2,2,1.0,,
d_subquest_1112_20,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_20,False,,1,worry,,3,surprise,,13,idle,,2,2,1.0,,
d_subquest_1112_21,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_21,True,,1,void,,3,surprise,,13,idle,,130,130,1.0,,
d_subquest_1112_22,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_22,True,,1,void,,3,idle,,13,idle,,S_30,S_30,1.0,,
d_subquest_1112_23,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_23,True,,1,void,,3,idle,,13,idle,,S_30,10,1.0,,
d_subquest_1112_24,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_24,True,,1,void,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1112_25,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_25,True,,1,void,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1112_26,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_26,True,,1,worry,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1112_27,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_27,False,,1,worry,,3,worry,,13,idle,,S_30,S_30,1.0,,
d_subquest_1112_28,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_28,True,,1,worry,,3,worry,,13,idle,,S_30,S_30,1.0,,
d_subquest_1112_29,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_29,False,,1,worry,,3,worry,,13,idle,,130,130,1.0,,
d_subquest_1112_30,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_30,False,,1,worry,,3,worry,,13,idle,,130,130,1.0,,
d_subquest_1112_31,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_31,True,,1,worry,,3,worry,,13,idle,,130,130,1.0,,
d_subquest_1112_32,d_subquest_1112,Narration,,,Locale_SubScenario:d_subquest_1112_32,False,,1,void,,3,worry,,13,idle,,black,black,1.0,,
d_subquest_1112_33,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_33,True,,1,void,,3,idle,,13,idle,,13,13,1.0,,
d_subquest_1112_34,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_34,True,,1,void,,3,idle,,13,idle,,13,13,1.0,,
d_subquest_1112_35,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_35,False,,1,void,,3,idle,,13,idle,,13,13,1.0,,
d_subquest_1112_36,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_36,True,,1,void,,3,idle,,13,idle,,13,13,1.0,,
d_subquest_1112_37,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_37,True,,1,void,,3,idle,,13,idle,,13,130,1.0,,
d_subquest_1112_38,d_subquest_1112,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1112_38,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1112_39,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_39,True,,1,void,,3,idle,,13,idle,,130,2,1.0,,
d_subquest_1112_40,d_subquest_1112,Speech,neon,neon,Locale_SubScenario:d_subquest_1112_40,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_41,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_41,True,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_42,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_42,False,,1,void,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1112_43,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_43,True,,1,worry,,3,idle,,13,idle,,2,1,1.0,,
d_subquest_1112_44,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_44,True,,1,worry,,3,idle,,13,idle,,1,1,1.0,,
d_subquest_1112_45,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_45,False,,1,worry,,3,idle,,13,idle,,1,1,1.0,,
d_subquest_1112_46,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_46,False,,1,worry,,3,idle,,13,idle,,1,1,1.0,,
d_subquest_1112_47,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_47,True,,1,worry,,3,idle,,13,idle,,1,1,1.0,,
d_subquest_1112_48,d_subquest_1112,Self,,,Locale_SubScenario:d_subquest_1112_48,False,,1,worry,,3,idle,,13,idle,,1,1,1.0,,
d_subquest_1112_49,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_49,False,,1,worry,,3,idle,,13,idle,,1,10,1.0,,
d_subquest_1112_50,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_50,True,,1,worry,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1112_51,d_subquest_1112,Speech,anis,anis,Locale_SubScenario:d_subquest_1112_51,True,,1,worry,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1112_52,d_subquest_1112,Monologue,,,Locale_SubScenario:d_subquest_1112_52,False,,1,worry,,3,idle,,13,idle,,black,black,1.0,,
