id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_38_05_e_1,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_1,True,mint,5,idle,prika,3,idle,anis,1,void,neon,13,idle,Gym,2,2,1.0,bgm_inark
d_main_38_05_e_2,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_2,True,,5,idle,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_38_05_e_3,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_3,True,,5,idle,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_38_05_e_4,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_4,True,,5,idle,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_38_05_e_5,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_5,True,,5,idle,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_38_05_e_6,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_6,True,,5,idle,,3,idle,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_7,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_7,True,,5,idle,,3,idle,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_8,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_8,True,,5,idle,,3,idle,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_9,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_9,True,,5,idle,,3,idle,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_10,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_10,True,,5,idle,,3,idle,,1,void,,13,idle,,2,2,1.0,
d_main_38_05_e_11,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_11,True,,5,idle,,3,surprise,,1,void,,13,idle,,2,2,1.0,
d_main_38_05_e_12,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_12,True,,5,idle,,3,surprise,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_13,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_13,True,,5,idle,,3,surprise,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_14,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_14,True,,5,idle,,3,idle,,1,worry,,13,idle,,2,2,1.0,
d_main_38_05_e_15,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_15,True,,5,idle,,3,idle,,1,worry,,13,idle,,2,4,1.0,
d_main_38_05_e_16,d_main_38_05_e,Speech,mint,mint,Locale_MainScenario:d_main_38_05_e_16,True,,5,idle,,3,idle,,1,worry,,13,idle,,4,4,1.0,
d_main_38_05_e_17,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_17,True,,5,idle,,3,idle,,1,worry,,13,idle,,4,3,1.0,
d_main_38_05_e_18,d_main_38_05_e,Speech,neon,neon,Locale_MainScenario:d_main_38_05_e_18,True,,5,idle,,3,idle,,1,worry,,13,delight,,13,S_130,1.0,
d_main_38_05_e_19,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_19,True,,5,idle,,3,idle,,1,worry,,13,delight,,3,3,1.0,
d_main_38_05_e_20,d_main_38_05_e,Speech,neon,neon,Locale_MainScenario:d_main_38_05_e_20,True,,5,idle,,3,idle,,1,worry,,13,worry,,S_130,13,1.0,
d_main_38_05_e_21,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_21,True,,5,idle,,3,idle,,1,worry,,13,worry,,3,3,1.0,
d_main_38_05_e_22,d_main_38_05_e,Speech,prika,prika,Locale_MainScenario:d_main_38_05_e_22,True,,5,idle,,3,idle,,1,worry,,13,idle,,3,2,1.0,
d_main_38_05_e_23,d_main_38_05_e,Speech,anis,anis,Locale_MainScenario:d_main_38_05_e_23,True,,5,idle,,3,idle,,1,void,,13,idle,,2,2,1.0,
