id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
d_main_32_03_1,d_main_32_03,Narration,Locale_MainScenario:d_main_32_03_1,False,grave,1,idle,rapi,3,idle,anis,13,idle,neon,15,idle,HarmonyCube,black,black,1.0,bgm_chapter32_field_advance,,
d_main_32_03_2,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_2,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,rapi,rapi
d_main_32_03_3,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_3,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_4,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_4,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,rapi,rapi
d_main_32_03_5,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_5,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_6,d_main_32_03,Self,Locale_MainScenario:d_main_32_03_6,False,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,
d_main_32_03_7,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_7,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,L_10,1.0,,grave,grave
d_main_32_03_8,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_8,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_9,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_9,True,,1,idle,,3,idle,,13,void,,15,idle,,L_10,113,1.0,,anis,anis
d_main_32_03_10,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_10,True,,1,idle,,3,idle,,13,void,,15,idle,,113,113,1.0,,anis,anis
d_main_32_03_11,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_11,True,,1,idle,,3,idle,,13,void,,15,idle,,113,113,1.0,,anis,anis
d_main_32_03_12,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_12,True,,1,idle,,3,idle,,13,void,,15,idle,,113,113,1.0,,grave,grave
d_main_32_03_13,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_13,True,,1,idle,,3,idle,,13,void,,15,idle,,113,31,1.0,,rapi,rapi
d_main_32_03_14,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_14,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_15,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_15,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_16,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_16,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_17,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_17,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,rapi,rapi
d_main_32_03_18,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_18,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,L_10,1.0,,grave,grave
d_main_32_03_19,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_19,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_20,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_20,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_21,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_21,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_22,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_22,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_23,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_23,True,,1,idle,,3,idle,,13,void,,15,idle,,130,130,1.0,,anis,anis
d_main_32_03_24,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_24,True,,1,idle,,3,idle,,13,void,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_25,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_25,True,,1,idle,,3,idle,,13,void,,15,idle,,L_10,L_100,1.0,,grave,grave
d_main_32_03_26,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_26,True,,1,idle,,3,idle,,13,void,,15,idle,,L_100,L_100,1.0,,grave,grave
d_main_32_03_27,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_27,True,,1,idle,,3,idle,,13,void,,15,idle,,L_100,L_100,1.0,,grave,grave
d_main_32_03_28,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_28,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_100,L_100,1.0,,grave,grave
d_main_32_03_29,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_29,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_100,L_10,1.0,,grave,grave
d_main_32_03_30,d_main_32_03,Self,Locale_MainScenario:d_main_32_03_30,False,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,
d_main_32_03_31,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_31,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_32,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_32,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_33,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_33,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,31,1.0,,rapi,rapi
d_main_32_03_34,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_34,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_35,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_35,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,31,1.0,,grave,grave
d_main_32_03_36,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_36,True,,1,idle,,3,idle,,13,idle,,15,idle,,31,L_10,1.0,,grave,grave
d_main_32_03_37,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_37,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_38,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_38,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
d_main_32_03_39,d_main_32_03,Speech,Locale_MainScenario:d_main_32_03_39,True,,1,idle,,3,idle,,13,idle,,15,idle,,L_10,L_10,1.0,,grave,grave
