id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,set_filter_01,fade
d_main_16_06_1,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_1,True,rapi,2,idle,anis,12,idle,neon,14,idle,IceLand_01,2,2,1.0,bgm_secondhand,,,,
d_main_16_06_2,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_2,True,,2,idle,,12,idle,,14,idle,,2,2,1.0,,,,,
d_main_16_06_3,d_main_16_06,Self,,Self,Locale_MainScenario:d_main_16_06_3,False,,2,idle,,12,idle,,14,idle,,2,2,1.0,,,,,
d_main_16_06_4,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_4,False,,2,worry,,12,idle,,14,idle,,2,2,1.0,,,,,
d_main_16_06_5,d_main_16_06,Monologue,,,Locale_MainScenario:d_main_16_06_5,False,,2,worry,,12,idle,,14,idle,,2,20,2.0,,,,,
d_main_16_06_6,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_6,True,,2,idle,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_7,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_7,True,,2,think,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_8,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_8,True,,2,think,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_9,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_9,True,,2,idle,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_10,d_main_16_06,Speech,rapi,rapi,Locale_MainScenario:d_main_16_06_10,True,,2,idle,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_11,d_main_16_06,Self,rapi,Self,Locale_MainScenario:d_main_16_06_11,False,,2,idle,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_12,d_main_16_06,Self,rapi,Self,Locale_MainScenario:d_main_16_06_12,False,,2,idle,,12,idle,,14,idle,,20,20,1.0,,,,,
d_main_16_06_13,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_13,True,,2,idle,,12,void,,14,idle,,20,120,1.0,,,,,
d_main_16_06_14,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_14,True,,2,idle,,12,void,,14,idle,,120,120,1.0,,,,,
d_main_16_06_15,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_15,True,,2,idle,,12,worry,,14,idle,,120,1200,1.0,,,,,
d_main_16_06_16,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_16,True,,2,idle,,12,idle,,14,idle,,1200,1200,1.0,,,,,
d_main_16_06_17,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_17,True,,2,idle,,12,void,,14,idle,,1200,120,2.0,,,,,
d_main_16_06_18,d_main_16_06,Monologue,anis,,Locale_MainScenario:d_main_16_06_18,False,,2,idle,,12,void,,14,idle,IceLand_03,120,120,1.0,,rapi,neon,Grey,black
d_main_16_06_19,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_19,True,,2,idle,,12,worry,,14,idle,,120,120,1.0,,,,Grey,
d_main_16_06_20,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_20,True,,2,idle,,12,worry,,14,idle,,120,120,1.0,,,,Grey,
d_main_16_06_21,d_main_16_06,Monologue,anis,,Locale_MainScenario:d_main_16_06_21,False,,2,idle,,12,worry,,14,idle,,120,120,1.0,,,,Grey,
d_main_16_06_22,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_22,True,rapi,2,idle,,12,idle,neon,14,idle,IceLand_01,120,120,1.0,,,,,black
d_main_16_06_23,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_23,True,,2,idle,,12,angry,,14,idle,,120,1200,1.0,,,,,
d_main_16_06_24,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_24,True,,2,idle,,12,angry,,14,idle,,1200,1200,1.0,,,,,
d_main_16_06_25,d_main_16_06,Speech,neon,neon,Locale_MainScenario:d_main_16_06_25,True,,2,idle,,12,angry,,14,angry,,1200,S_140,0.5,,,,,
d_main_16_06_26,d_main_16_06,Self,neon,Self,Locale_MainScenario:d_main_16_06_26,False,,2,idle,,12,angry,,14,angry,,S_140,S_140,1.0,,,,,
d_main_16_06_27,d_main_16_06,Speech,anis,anis,Locale_MainScenario:d_main_16_06_27,True,,2,idle,,12,shy,,14,angry,,S_140,120,1.5,,,,,
