id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_16af_03_1,d_main_16af_03,,Narration,,Narration,Locale_MainScenario:d_main_16af_03_1,False,Bar,,,,,,8,3,0,,,,100,bgm_story_stormbreakers,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_2,d_main_16af_03,,Speech,jackal,jackal,Locale_MainScenario:d_main_16af_03_2,False,,,,,,,3,3,0,,,,100,,,None,None,,None,False,jackal,,3,"expression_0,crazy",crow,,1,idle,viper,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_3,d_main_16af_03,,Speech,jackal,jackal,Locale_MainScenario:d_main_16af_03_3,True,,,,,,,3,S_30,0,,,,100,,,None,None,,None,False,,,3,crazy,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_4,d_main_16af_03,,Speech,jackal,jackal,Locale_MainScenario:d_main_16af_03_4,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_5,d_main_16af_03,,Speech,jackal,jackal,Locale_MainScenario:d_main_16af_03_5,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_6,d_main_16af_03,,Speech,jackal,jackal,Locale_MainScenario:d_main_16af_03_6,True,,,,,,,S_30,S_300,0,,,,100,,Low_2,None,None,,None,False,,,3,crazy,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_7,d_main_16af_03,,Speech,viper,viper,Locale_MainScenario:d_main_16af_03_7,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,3,crazy,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_8,d_main_16af_03,,Speech,viper,viper,Locale_MainScenario:d_main_16af_03_8,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_9,d_main_16af_03,,Speech,viper,viper,Locale_MainScenario:d_main_16af_03_9,True,,,,,,,130,1300,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_16af_03_10,d_main_16af_03,,Speech,jackal,jackal,Locale_MainScenario:d_main_16af_03_10,True,,,,,,,1300,S_30,0,,,,100,,,None,None,,None,False,,,3,shy_02,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
