id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_subquest_1261_s_1,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_1,False,rapi,5,idle,neon,3,idle,anis,1,worry,CityForest_01,1,10,2.0,ambient_scn_wind,,,,
d_subquest_1261_s_2,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_2,True,,5,idle,,3,idle,,1,worry,,10,10,1.0,,,,,
d_subquest_1261_s_3,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_3,True,,5,idle,,3,idle,,1,sad,,10,10,1.0,,,,,
d_subquest_1261_s_4,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_4,True,,5,idle,,3,idle,,1,sad,,10,10,1.0,,,,,
d_subquest_1261_s_5,d_subquest_1261_s,Self,anis,Self,Locale_SubScenario:d_subquest_1261_s_5,False,,5,idle,,3,idle,,1,worry,,10,10,1.0,,,,,
d_subquest_1261_s_6,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_6,True,,5,idle,,3,idle,,1,worry,,10,10,1.0,,,,,
d_subquest_1261_s_7,d_subquest_1261_s,Choice,anis,,Locale_SubScenario:d_subquest_1261_s_7,False,,5,idle,,3,idle,,1,worry,,10,10,1.0,,d_subquest_1261_s_9,,,
d_subquest_1261_s_8,d_subquest_1261_s,Choice,anis,,Locale_SubScenario:d_subquest_1261_s_8,False,,5,idle,,3,idle,,1,worry,,10,10,1.0,,d_subquest_1261_s_10,,,
d_subquest_1261_s_9,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_9,True,,5,idle,,3,idle,,1,no,,10,10,1.0,,d_subquest_1261_s_11,,,
d_subquest_1261_s_10,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_10,True,,5,idle,,3,idle,,1,worry,,10,10,1.0,,,,,
d_subquest_1261_s_11,d_subquest_1261_s,Speech,refugee,unknown,Locale_SubScenario:d_subquest_1261_s_11,True,,5,idle,,3,idle,,1,worry,,10,12,1.0,,,refugee,13,idle
d_subquest_1261_s_12,d_subquest_1261_s,Speech,refugee,unknown,Locale_SubScenario:d_subquest_1261_s_12,True,,5,idle,,3,idle,,1,worry,,12,12,1.0,,,,13,idle
d_subquest_1261_s_13,d_subquest_1261_s,Self,refugee,Self,Locale_SubScenario:d_subquest_1261_s_13,False,,5,idle,,3,idle,,1,worry,,12,12,1.0,,,,13,idle
d_subquest_1261_s_14,d_subquest_1261_s,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_s_14,True,,5,idle,,3,idle,,1,void,,12,130,1.0,bgm_inark,,,13,idle
d_subquest_1261_s_15,d_subquest_1261_s,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_s_15,True,,5,idle,,3,idle,,1,void,,130,130,1.0,,,,13,idle
d_subquest_1261_s_16,d_subquest_1261_s,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_s_16,True,,5,idle,,3,idle,,1,void,,130,130,1.0,,,,13,idle
d_subquest_1261_s_17,d_subquest_1261_s,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_s_17,True,,5,idle,,3,idle,,1,void,,130,130,1.0,,,,13,idle
d_subquest_1261_s_18,d_subquest_1261_s,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1261_s_18,True,,5,idle,,3,idle,,1,void,,130,130,1.0,,,,13,idle
d_subquest_1261_s_19,d_subquest_1261_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1261_s_19,False,,5,idle,,3,idle,,1,void,,130,10,2.0,,,,13,idle
d_subquest_1261_s_20,d_subquest_1261_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1261_s_20,False,,5,idle,,3,no,,1,void,,10,S_30,1.0,,,,13,idle
d_subquest_1261_s_21,d_subquest_1261_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1261_s_21,True,,5,idle,,3,no,,1,void,,S_30,50,0.5,,,,13,idle
d_subquest_1261_s_22,d_subquest_1261_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1261_s_22,True,,5,idle,,3,idle,,1,void,,50,50,1.0,,,,13,idle
d_subquest_1261_s_23,d_subquest_1261_s,Self,rapi,Self,Locale_SubScenario:d_subquest_1261_s_23,False,,5,idle,,3,idle,,1,void,,50,50,1.0,,,,13,idle
d_subquest_1261_s_24,d_subquest_1261_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1261_s_24,True,,5,idle,,3,idle,,1,void,,50,50,1.0,,,,13,idle
