id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,set_camera_shake,set_filter_01,set_filter_02
d_main_30_05_1,d_main_30_05,Narration,Locale_MainScenario:d_main_30_05_1,False,rapi,3,idle,anis,5,void,neon,7,no,drilley,1,surprise,CrystalField_2,black,black,1.0,sfx_scn_drillcrystal,bgm_chapter30_field_whitecity,,,,,,,,,
d_main_30_05_2,d_main_30_05,Narration,Locale_MainScenario:d_main_30_05_2,False,,3,idle,,5,void,,7,no,,1,surprise,,black,black,1.0,sfx_scn_crystalfalldown,,,,,,,,,,
d_main_30_05_3,d_main_30_05,Monologue,Locale_MainScenario:d_main_30_05_3,False,,3,idle,,5,void,,7,no,,1,surprise,,1,XS_10,1.0,,,,,,,,,,,
d_main_30_05_4,d_main_30_05,Speech,Locale_MainScenario:d_main_30_05_4,True,,3,idle,,5,void,,7,no,,1,surprise,,XS_10,XS_10,1.0,,,drilley,drilley,,,,,,,
d_main_30_05_5,d_main_30_05,Speech,Locale_MainScenario:d_main_30_05_5,True,,3,idle,,5,void,,7,no,,1,surprise,,XS_10,XS_10,1.0,,,drilley,drilley,,,,,,,
d_main_30_05_6,d_main_30_05,Speech,Locale_MainScenario:d_main_30_05_6,True,,3,idle,,5,void,,7,no,,1,surprise,,S_70,S_70,1.0,,,neon,neon,,,,,,,
d_main_30_05_7,d_main_30_05,Speech,Locale_MainScenario:d_main_30_05_7,True,,3,idle,,5,void,,7,no,,1,surprise,,XS_10,XS_10,1.0,,,drilley,drilley,,,,,,,
d_main_30_05_8,d_main_30_05,Monologue,Locale_MainScenario:d_main_30_05_8,False,,3,idle,,5,void,,7,no,,1,surprise,,XS_10,XS_10,1.0,,,drilley,,,,,,,,
d_main_30_05_9,d_main_30_05,Self,Locale_MainScenario:d_main_30_05_9,False,,3,idle,,5,void,,7,no,,1,surprise,,XS_10,XS_10,1.0,,,drilley,,,,,,,,
d_main_30_05_10,d_main_30_05,Speech,Locale_MainScenario:d_main_30_05_10,True,,3,idle,,5,void,,7,no,,1,surprise,,XS_10,XS_10,1.0,,,drilley,drilley,,,,,,,
d_main_30_05_11,d_main_30_05,Self,Locale_MainScenario:d_main_30_05_11,False,,3,idle,,5,void,,7,idle,,1,surprise,,XS_10,XS_10,1.0,,,drilley,,,,,,,,
