id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_ex_redash_05_2_1,d_ex_redash_05_2,,Narration,,Narration,Locale_SuddenStory:d_ex_redash_05_2_1,False,ArkRuinIndoor,,,,,,black,black,0,,,,100,none,,None,None,,None,False,liliweiss,,5,idle,commander,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_2,d_ex_redash_05_2,,Speech,liliweiss,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_2,True,,,,,,,50,50,0,,,,100,event_bgm_redash_alldownhill,,None,None,,None,False,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_3,d_ex_redash_05_2,,Speech,commander,commander,Locale_SuddenStory:d_ex_redash_05_2_3,False,,,,,,,50,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_4,d_ex_redash_05_2,,Speech,commander,commander,Locale_SuddenStory:d_ex_redash_05_2_4,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_5,d_ex_redash_05_2,,Speech,liliweiss,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_5,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_6,d_ex_redash_05_2,,Speech,commander,commander,Locale_SuddenStory:d_ex_redash_05_2_6,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_7,d_ex_redash_05_2,,Speech,liliweiss,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_7,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,surprise,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_8,d_ex_redash_05_2,,Speech,commander,commander,Locale_SuddenStory:d_ex_redash_05_2_8,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,surprise,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_9,d_ex_redash_05_2,,Speech,liliweiss,liliweiss,Locale_SuddenStory:d_ex_redash_05_2_9,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,think,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_10,d_ex_redash_05_2,,Speech,commander,commander,Locale_SuddenStory:d_ex_redash_05_2_10,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_11,d_ex_redash_05_2,,Narration,,Narration,Locale_SuddenStory:d_ex_redash_05_2_11,False,Grassland,,,,,,15,150,0,,,,100,none,,None,None,,Black,False,,,5,think,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_redash_05_2_12,d_ex_redash_05_2,,Narration,,Narration,Locale_SuddenStory:d_ex_redash_05_2_12,False,,,,,,,150,150,0,,,,100,event_bgm_redash_dearsnowwhite,,None,None,,None,False,,,5,think,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
