id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_32_02_e_1,d_main_32_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_02_e_1,True,CrystalCity,100,100,1.0,bgm_story_confront,shifty_r,OP_rightup,angry,anis,1,void,neon,13,idle,,,,rapi,15,idle,grave,17,idle
d_main_32_02_e_2,d_main_32_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_02_e_2,True,,100,100,1.0,,,OP_rightup,angry,,1,void,,13,idle,,,,,15,idle,,17,idle
d_main_32_02_e_3,d_main_32_02_e,Self,shifty_r,,Locale_MainScenario:d_main_32_02_e_3,False,,100,100,1.0,,,OP_rightup,angry,,1,void,,13,idle,,,,,15,idle,,17,idle
d_main_32_02_e_4,d_main_32_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_02_e_4,True,,100,100,1.0,,,OP_rightup,angry,,1,void,,13,idle,,,,,15,idle,,17,idle
d_main_32_02_e_5,d_main_32_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_02_e_5,True,,100,100,1.0,,,OP_rightup,angry,,1,void,,13,idle,,,,,15,idle,,17,idle
d_main_32_02_e_6,d_main_32_02_e,Speech,anis,anis,Locale_MainScenario:d_main_32_02_e_6,True,,100,100,1.0,,,OP_rightup,angry,,1,angry,,13,idle,,,,,15,idle,,17,idle
d_main_32_02_e_7,d_main_32_02_e,Speech,mana_op,mana_op,Locale_MainScenario:d_main_32_02_e_7,True,,100,100,1.0,,,OP_rightup,angry,,1,angry,,13,idle,mana_op,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_8,d_main_32_02_e,Speech,mana_op,mana_op,Locale_MainScenario:d_main_32_02_e_8,True,,100,10,1.0,,,OP_rightup,angry,,1,angry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_9,d_main_32_02_e,Speech,neon,neon,Locale_MainScenario:d_main_32_02_e_9,True,,10,113,1.0,,,OP_rightup,angry,,1,angry,,13,delight,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_10,d_main_32_02_e,Speech,anis,anis,Locale_MainScenario:d_main_32_02_e_10,True,,113,113,1.0,,,OP_rightup,angry,,1,angry,,13,delight,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_11,d_main_32_02_e,Speech,grave,grave,Locale_MainScenario:d_main_32_02_e_11,True,,L_170,L_170,1.0,,,OP_rightup,angry,,1,angry,,13,delight,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_12,d_main_32_02_e,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_32_02_e_12,True,,L_170,L_170,1.0,,,OP_rightup,think,,1,angry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_13,d_main_32_02_e,Speech,mana_op,mana_op,Locale_MainScenario:d_main_32_02_e_13,True,,L_170,L_170,1.0,,,OP_rightup,think,,1,angry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_14,d_main_32_02_e,Speech,mana_op,mana_op,Locale_MainScenario:d_main_32_02_e_14,True,,L_170,L_170,1.0,,,OP_rightup,think,,1,angry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_15,d_main_32_02_e,Speech,anis,anis,Locale_MainScenario:d_main_32_02_e_15,True,,10,10,1.0,,,OP_rightup,think,,1,worry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_16,d_main_32_02_e,Self,anis,,Locale_MainScenario:d_main_32_02_e_16,False,,10,10,1.0,,,OP_rightup,think,,1,worry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
d_main_32_02_e_17,d_main_32_02_e,Speech,rapi,rapi,Locale_MainScenario:d_main_32_02_e_17,True,,150,150,1.0,,,OP_rightup,think,,1,worry,,13,idle,,OP_leftup,idle,,15,idle,,17,idle
