id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade
d_main_15af_03_1,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_1,True,neon,3,angry,anis,1,angry,rapi,13,idle,CommanderRoom,3,3,1.0,bgm_inark,,,,,,,,,,
d_main_15af_03_2,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_2,True,,3,angry,,1,angry,,13,idle,,3,3,1.0,,,,,,,,,,,
d_main_15af_03_3,d_main_15af_03,Choice,neon,,Locale_MainScenario:d_main_15af_03_3,False,,3,angry,,1,angry,,13,idle,,3,3,1.0,,d_main_15af_03_5,,,,,,,,,
d_main_15af_03_4,d_main_15af_03,Choice,neon,,Locale_MainScenario:d_main_15af_03_4,False,,3,angry,,1,angry,,13,idle,,3,3,1.0,,d_main_15af_03_6,,,,,,,,,
d_main_15af_03_5,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_5,True,,3,angry,,1,angry,,13,idle,,3,1,1.0,,d_main_15af_03_7,,,,,,,,,
d_main_15af_03_6,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_6,True,,3,angry,,1,angry,,13,idle,,3,1,1.0,,,,,,,,,,,
d_main_15af_03_7,d_main_15af_03,Monologue,anis,,Locale_MainScenario:d_main_15af_03_7,False,,3,angry,,1,angry,,13,idle,,1,10,2.0,,,,,,,,,,,
d_main_15af_03_8,d_main_15af_03,Monologue,,,Locale_MainScenario:d_main_15af_03_8,False,,3,angry,,1,angry,,13,idle,EventScene_Main_15_After_01,black,black,1.0,,,,,,,,,,,
d_main_15af_03_9,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_9,False,,3,angry,,1,angry,,13,idle,,matis_event_05,matis_event_01,2.0,,,neon,anis,rapi,Grey,,,,,
d_main_15af_03_10,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_10,False,,,,,,,,,,,matis_event_01,matis_event_01,1.0,,,,,,Grey,,,,,
d_main_15af_03_11,d_main_15af_03,Monologue,,,Locale_MainScenario:d_main_15af_03_11,False,,,,,,,,,,Hospital_n,black,black,1.0,,,,,,,,,,,
d_main_15af_03_12,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_12,False,,,,,,,,,,,1,1,1.0,,,,,,Grey,laplace,1,void,,
d_main_15af_03_13,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_13,False,,,,,,,,,,,1,1,1.0,,,,,,Grey,,1,void,,
d_main_15af_03_14,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_14,False,,,,,,,,,,,1,S_10,2.0,,,,,,Grey,,1,idle,,
d_main_15af_03_15,d_main_15af_03,Monologue,,,Locale_MainScenario:d_main_15af_03_15,False,,,,,,,,,,Office,black,black,1.0,,,,,,,,1,idle,laplace,
d_main_15af_03_16,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_16,False,,,,,,,,,,,1,1,1.0,,,,,,Grey,,,,,
d_main_15af_03_17,d_main_15af_03,Narration,,Narration,Locale_MainScenario:d_main_15af_03_17,False,,,,,,,,,,,1,1,1.0,,,,,,Grey,syuen,1,idle,,
d_main_15af_03_18,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_18,True,neon,3,idle,anis,1,angry,rapi,13,idle,CommanderRoom,1,1,1.0,,,,,,,,1,idle,syuen,black
d_main_15af_03_19,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_19,True,,3,idle,,1,angry,,13,idle,,1,10,1.0,,,,,,,,,,,
d_main_15af_03_20,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_20,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,,,,,,,,
d_main_15af_03_21,d_main_15af_03,Choice,anis,,Locale_MainScenario:d_main_15af_03_21,False,,3,idle,,1,angry,,13,idle,,10,10,1.0,,d_main_15af_03_23,,,,,,,,,
d_main_15af_03_22,d_main_15af_03,Choice,anis,,Locale_MainScenario:d_main_15af_03_22,False,,3,idle,,1,angry,,13,idle,,10,10,1.0,,d_main_15af_03_31,,,,,,,,,
d_main_15af_03_23,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_23,True,,3,surprise,,1,angry,,13,idle,,10,2,1.0,,,,,,,,,,,
d_main_15af_03_24,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_24,True,,3,surprise,,1,angry,,13,idle,,2,S_30,2.0,,,,,,,,,,,
d_main_15af_03_25,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_25,True,,3,worry,,1,angry,,13,idle,,S_30,S_30,1.0,,,,,,,,,,,
d_main_15af_03_26,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_26,True,,3,worry,,1,angry,,13,idle,,2,2,0.5,,,,,,,,,,,
d_main_15af_03_27,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_27,True,,3,idle,,1,worry,,13,idle,,2,10,2.0,,,,,,,,,,,
d_main_15af_03_28,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_28,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,,,,,,,,
d_main_15af_03_29,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_29,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,,,,,,,,
d_main_15af_03_30,d_main_15af_03,Self,anis,Self,Locale_MainScenario:d_main_15af_03_30,False,,3,idle,,1,angry,,13,idle,,10,10,1.0,,d_main_15af_03_42,,,,,,,,,
d_main_15af_03_31,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_31,True,,3,idle,,1,void,,13,idle,,10,12,1.0,,,,,,,,,,,
d_main_15af_03_32,d_main_15af_03,Choice,rapi,,Locale_MainScenario:d_main_15af_03_32,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,d_main_15af_03_34,,,,,,,,,
d_main_15af_03_33,d_main_15af_03,Choice,rapi,,Locale_MainScenario:d_main_15af_03_33,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,d_main_15af_03_34,,,,,,,,,
d_main_15af_03_34,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_34,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,,,,,,,,,,
d_main_15af_03_35,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_35,True,,3,idle,,1,void,,13,idle,,12,130,2.0,,,,,,,,,,,
d_main_15af_03_36,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_36,True,,3,idle,,1,void,,13,worry,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_37,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_37,True,,3,idle,,1,void,,13,worry,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_38,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_38,True,,3,idle,,1,void,,13,worry,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_39,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_39,True,,3,idle,,1,void,,13,think,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_40,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_40,True,,3,idle,,1,void,,13,think,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_41,d_main_15af_03,Self,rapi,Self,Locale_MainScenario:d_main_15af_03_41,False,,3,idle,,1,void,,13,think,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_42,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_42,True,,3,angry,,1,void,,13,think,,S_30,S_30,1.0,,,,,,,,,,,
d_main_15af_03_43,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_43,True,,3,surprise,,1,void,,13,think,,S_30,130,0.5,,,,,,,,,,,
d_main_15af_03_44,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_44,True,,3,surprise,,1,void,,13,idle,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_45,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_45,True,,3,idle,,1,void,,13,idle,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_46,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_46,True,,3,idle,,1,void,,13,idle,,130,130,1.0,,,,,,,,,,,
d_main_15af_03_47,d_main_15af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15af_03_47,True,,3,idle,,1,void,,13,think,,130,13,2.0,,,,,,,,,,,
d_main_15af_03_48,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_48,True,,3,idle,,1,worry,,13,think,,13,12,1.0,,,,,,,,,,,
d_main_15af_03_49,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_49,True,,3,idle,,1,sad,,13,idle,,12,12,1.0,,,,,,,,,,,
d_main_15af_03_50,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_50,True,,3,idle,,1,sad,,13,idle,,12,10,1.0,,,,,,,,,,,
d_main_15af_03_51,d_main_15af_03,Speech,anis,anis,Locale_MainScenario:d_main_15af_03_51,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,,,,,,,,
d_main_15af_03_52,d_main_15af_03,Speech,neon,neon,Locale_MainScenario:d_main_15af_03_52,True,,3,angry,,1,angry,,13,idle,,S_30,S_30,1.0,,,,,,,,,,,
