id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_redash_06_1_1,d_ex_redash_06_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_1_1,False,rapunzel_o,1,idle,Office,black,black,1.0,none,,,,,,,
d_ex_redash_06_1_2,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_2,True,,1,idle,,1,1,1.0,bgm_story_kneeldownfools,rapunzel_o,,,,,,
d_ex_redash_06_1_3,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_3,False,,1,idle,,1,1,1.0,,,,,,,,
d_ex_redash_06_1_4,d_ex_redash_06_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_1_4,False,,1,idle,,1,L_10,1.0,,,sfx_scn_boxopen,,,,,
d_ex_redash_06_1_5,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_5,True,,1,surprise,,L_10,L_10,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_1_6,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_6,False,,1,surprise,,L_10,L_10,1.0,,,,,,,,
d_ex_redash_06_1_7,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_7,True,,1,surprise,,L_10,L_10,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_1_8,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_8,True,,1,idle,,L_10,L_10,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_1_9,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_9,True,,1,smile,,L_10,1,1.0,,rapunzel_o,,,,,,
d_ex_redash_06_1_10,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_10,False,,1,idle,,1,1,1.0,,,,,,,,
d_ex_redash_06_1_11,d_ex_redash_06_1,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_06_1_11,False,,1,idle,,1,1,1.0,,,,,,,,
d_ex_redash_06_1_12,d_ex_redash_06_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_06_1_12,False,,1,idle,,1,1,1.0,,,,,,,,
d_ex_redash_06_1_13,d_ex_redash_06_1,Speech,tvvoice,Locale_SuddenStory:d_ex_redash_06_1_13,False,,1,idle,,17,170,0.3,,tvvoice,,Low_2,Blur_High,,,
d_ex_redash_06_1_14,d_ex_redash_06_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_06_1_14,False,,1,surprise,,1,L_10,0.7,,rapunzel_o,,,,,,
