id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_08_08_1,d_main_08_08,,Speech,rapi,rapi,Locale_MainScenario:d_main_08_08_1,True,WasteLand_01,,,,,,3,30,0,,,,100,bgm_theruinedcity_b,,None,None,,None,False,rapi,,3,idle,anis,,1,delight,neon,,13,idle,shifty,,OP_leftup,idle,exia_op_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_2,d_main_08_08,,Speech,anis,anis,Locale_MainScenario:d_main_08_08_2,True,,,,,,,30,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,delight,,,13,worry,,,OP_leftup,idle,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_3,d_main_08_08,,Speech,neon,neon,Locale_MainScenario:d_main_08_08_3,False,,,,,,,10,S_130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,delight,,,13,worry,,,OP_leftup,idle,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_4,d_main_08_08,,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_4,False,,,,,,,S_130,S_130,0,,,,100,none,,None,None,,None,False,,,3,idle,,,1,delight,,,13,worry,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_5,d_main_08_08,,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_5,True,,,,,,,S_130,17,0,,,,100,bgm_emergency,,None,None,,None,False,,,3,idle,,,1,idle,,,13,worry,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_6,d_main_08_08,,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_08_6,True,,,,,,,17,17,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,surprise,,,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_7,d_main_08_08,,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_08_7,True,,,,,,,17,17,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,surprise,,,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_8,d_main_08_08,,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_8,True,,,,,,,17,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,worry,,,13,idle,,,OP_leftup,surprise,,,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_9,d_main_08_08,,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_9,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,worry,,,13,idle,,,OP_leftup,surprise,,,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_10,d_main_08_08,,Speech,anis,anis,Locale_MainScenario:d_main_08_08_10,False,,,,,,,12,10,858993459,,,,100,,,None,None,,None,False,,,3,idle,,,1,angry,,,13,surprise,,,OP_leftup,surprise,,,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_11,d_main_08_08,,Speech,neon,neon,Locale_MainScenario:d_main_08_08_11,False,,,,,,,10,S_130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,angry,,,13,surprise,,,OP_leftup,surprise,,,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_12,d_main_08_08,,Monologue,,,Locale_MainScenario:d_main_08_08_12,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,angry,,,13,surprise,,shifty,OP_leftup,surprise,,exia_op_r,OP_rightup,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_08_08_13,d_main_08_08,,Speech,anis,anis,Locale_MainScenario:d_main_08_08_13,True,,,,,,,1,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,angry,,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
