id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_main_04_02_1,d_main_04_02,Speech,anis,anis,Locale_MainScenario:d_main_04_02_1,True,rapi,1,idle,anis,3,idle,neon,13,idle,mihara,17,idle,yuni,9,idle,CityForest_01,3,3,1.0,bgm_floraltribute,
d_main_04_02_2,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_2,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,idle,,3,17,1.0,,
d_main_04_02_3,d_main_04_02,Speech,anis,anis,Locale_MainScenario:d_main_04_02_3,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,idle,,17,17,1.0,,
d_main_04_02_4,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_4,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,idle,,17,170,1.0,,
d_main_04_02_5,d_main_04_02,Speech,neon,neon,Locale_MainScenario:d_main_04_02_5,True,,1,idle,,3,idle,,13,delight,,17,idle,,9,idle,,170,S_130,1.0,,
d_main_04_02_6,d_main_04_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04_02_6,True,,1,think,,3,idle,,13,delight,,17,idle,,9,idle,,S_130,10,1.0,,
d_main_04_02_7,d_main_04_02,Monologue,rapi,,Locale_MainScenario:d_main_04_02_7,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,10,S_90,1.0,,
d_main_04_02_8,d_main_04_02,Speech,yuni,yuni,Locale_MainScenario:d_main_04_02_8,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,S_90,S_90,1.0,,
d_main_04_02_9,d_main_04_02,Self,yuni,Self,Locale_MainScenario:d_main_04_02_9,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,S_90,S_90,1.0,,
d_main_04_02_10,d_main_04_02,Narration,yuni,Narration,Locale_MainScenario:d_main_04_02_10,False,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,S_90,S_900,1.0,,Low_2
d_main_04_02_11,d_main_04_02,Self,yuni,Self,Locale_MainScenario:d_main_04_02_11,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,S_900,S_900,1.0,,
d_main_04_02_12,d_main_04_02,Speech,yuni,yuni,Locale_MainScenario:d_main_04_02_12,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,S_900,S_900,1.0,,
d_main_04_02_13,d_main_04_02,Speech,anis,anis,Locale_MainScenario:d_main_04_02_13,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,30,30,1.0,,
d_main_04_02_14,d_main_04_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04_02_14,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,30,10,1.0,,
d_main_04_02_15,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_15,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,170,170,1.0,,
d_main_04_02_16,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_16,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,170,1700,1.0,,
d_main_04_02_17,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_17,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,1700,1700,1.0,,
d_main_04_02_18,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_18,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,1700,1700,1.0,,
d_main_04_02_19,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_19,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,1700,1700,1.0,,
d_main_04_02_20,d_main_04_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04_02_20,False,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,100,100,1.0,,
d_main_04_02_21,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_21,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,170,170,1.0,,
d_main_04_02_22,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_22,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,170,1700,1.0,,
d_main_04_02_23,d_main_04_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04_02_23,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,1700,100,1.0,,
d_main_04_02_24,d_main_04_02,Speech,anis,anis,Locale_MainScenario:d_main_04_02_24,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,100,300,1.0,,
d_main_04_02_25,d_main_04_02,Speech,neon,neon,Locale_MainScenario:d_main_04_02_25,True,,1,idle,,3,idle,,13,delight,,17,idle,,9,shy,,300,S_1300,1.0,,
d_main_04_02_26,d_main_04_02,Speech,mihara,mihara,Locale_MainScenario:d_main_04_02_26,True,,1,idle,,3,idle,,13,idle,,17,idle,,9,shy,,1700,1700,1.0,,
