id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_20_06_e_1,d_main_20_06_e,Speech,johan,johan,Locale_MainScenario:d_main_20_06_e_1,False,johan,4,think,dorothy,2,idle_alt,anis,12,idle,neon,14,idle,rapi,16,idle,Desert_05,3,3,1.0,bgm_volcanicnest_b,,,,,
d_main_20_06_e_2,d_main_20_06_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_06_e_2,False,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,,,
d_main_20_06_e_3,d_main_20_06_e,Speech,anis,anis,Locale_MainScenario:d_main_20_06_e_3,True,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,3,1,2.0,,,,,,
d_main_20_06_e_4,d_main_20_06_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_06_e_4,True,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,1,1,1.0,,,,,,
d_main_20_06_e_5,d_main_20_06_e,Self,,Self,Locale_MainScenario:d_main_20_06_e_5,False,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,1,1,1.0,,,,,,
d_main_20_06_e_6,d_main_20_06_e,Narration,,Narration,Locale_MainScenario:d_main_20_06_e_6,False,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,L_40,L_40,1.0,,sfx_scn_successsignal,,,,
d_main_20_06_e_7,d_main_20_06_e,Monologue,,Monologue,Locale_MainScenario:d_main_20_06_e_7,False,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,L_40,4,2.0,,,,,,
d_main_20_06_e_8,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_8,False,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,cecil_op_r,OP_rightup,no,
d_main_20_06_e_9,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_9,True,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,no,
d_main_20_06_e_10,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_10,True,,4,idle,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,no,
d_main_20_06_e_11,d_main_20_06_e,Speech,johan,johan,Locale_MainScenario:d_main_20_06_e_11,False,,4,surprise,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,no,
d_main_20_06_e_12,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_12,True,,4,surprise,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,angry,
d_main_20_06_e_13,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_13,True,,4,surprise,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,angry,
d_main_20_06_e_14,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_14,True,,4,surprise,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,angry,
d_main_20_06_e_15,d_main_20_06_e,Speech,johan,johan,Locale_MainScenario:d_main_20_06_e_15,False,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,4,1.0,,,,OP_rightup,angry,
d_main_20_06_e_16,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_16,True,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,4,3,1.0,,,,OP_rightup,no,
d_main_20_06_e_17,d_main_20_06_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_06_e_17,True,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,OP_rightup,no,
d_main_20_06_e_18,d_main_20_06_e,Speech,cecil_op_r,cecil_op_r,Locale_MainScenario:d_main_20_06_e_18,True,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,OP_rightup,no,
d_main_20_06_e_19,d_main_20_06_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_06_e_19,True,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,OP_rightup,no,
d_main_20_06_e_20,d_main_20_06_e,Self,,Self,Locale_MainScenario:d_main_20_06_e_20,False,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,idle,,3,3,1.0,,,,OP_rightup,no,
d_main_20_06_e_21,d_main_20_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_20_06_e_21,False,,4,think,,2,idle_alt,,12,idle,,14,idle,,16,no,,15,15,1.0,,,,OP_rightup,no,cecil_op_r
d_main_20_06_e_22,d_main_20_06_e,Speech,neon,neon,Locale_MainScenario:d_main_20_06_e_22,True,,4,think,,2,idle_alt,,12,idle,,14,surprise,,16,no,,15,15,1.0,,,,,,
d_main_20_06_e_23,d_main_20_06_e,Speech,anis,anis,Locale_MainScenario:d_main_20_06_e_23,True,,4,think,,2,idle_alt,,12,delight,,14,surprise,,16,no,,15,13,1.5,,,,,,
