id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01
d_main_26_10_1,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_1,True,andersen,1,idle,Office,1,1,1.0,bgm_story_fairytalesend_a,
d_main_26_10_2,d_main_26_10,Self,,,Locale_MainScenario:d_main_26_10_2,False,,1,idle,,1,1,1.0,,
d_main_26_10_3,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_3,True,,1,idle,,1,1,1.0,,
d_main_26_10_4,d_main_26_10,Self,,,Locale_MainScenario:d_main_26_10_4,False,,1,idle,,1,1,1.0,,
d_main_26_10_5,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_5,True,,1,idle,,1,1,1.0,,
d_main_26_10_6,d_main_26_10,Monologue,,,Locale_MainScenario:d_main_26_10_6,False,,1,idle,CountryVillage_d,1,6,1.0,,Vignetting
d_main_26_10_7,d_main_26_10,Monologue,,,Locale_MainScenario:d_main_26_10_7,False,,1,idle,,6,6,1.0,,Vignetting
d_main_26_10_8,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_8,True,,1,surprise,Office,6,1,1.0,,
d_main_26_10_9,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_9,False,,1,think,,1,1,1.0,,
d_main_26_10_10,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_10,True,,1,idle,,1,L_10,1.0,,
d_main_26_10_11,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_11,True,,1,idle,,L_10,L_10,1.0,,
d_main_26_10_12,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_12,True,,1,idle,,L_10,L_10,1.0,,
d_main_26_10_13,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_13,True,,1,idle,,L_10,L_10,1.0,,
d_main_26_10_14,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_14,True,,1,idle,,L_10,L_10,1.0,,
d_main_26_10_15,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_15,True,,1,idle,,L_10,L_10,1.0,,
d_main_26_10_16,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_16,False,,1,idle,,L_10,L_10,1.0,,
d_main_26_10_17,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_17,True,,1,idle,,L_10,1,1.0,,
d_main_26_10_18,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_18,True,,1,idle,,1,1,1.0,,
d_main_26_10_19,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_19,True,,1,idle,,1,1,1.0,,
d_main_26_10_20,d_main_26_10,Self,,,Locale_MainScenario:d_main_26_10_20,False,,1,idle,,1,1,1.0,,
d_main_26_10_21,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_21,True,,1,idle,,1,1,1.0,,
d_main_26_10_22,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_22,True,,1,idle,,1,1,1.0,,
d_main_26_10_23,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_23,True,,1,idle,,1,1,1.0,,
