id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,set_camera_shake
d_main_09_06_s_1,d_main_09_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_06_s_1,True,anis,3,sad,rapi,1,idle,neon,13,idle,WasteLand_02,10,10,1.0,bgm_enemyclose,,,,,,,,,
d_main_09_06_s_2,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_2,False,,3,sad,,1,idle,,13,idle,,10,30,1.0,,,,,,,,,,
d_main_09_06_s_3,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_3,True,,3,sad,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,,
d_main_09_06_s_4,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_4,True,,3,sad,,1,idle,,13,idle,,30,30,1.0,,shifty,OP_leftup,idle,,,,,,
d_main_09_06_s_5,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_5,True,,3,sad,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,idle,,,,,,
d_main_09_06_s_6,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_6,True,,3,sad,,1,idle,,13,idle,,30,30,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_7,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_7,True,,3,angry,,1,idle,,13,idle,,30,300,0.5,,,OP_leftup,no,,,,,,
d_main_09_06_s_8,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_8,True,,3,angry,,1,idle,,13,idle,,300,300,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_9,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_9,True,,3,angry,,1,idle,,13,idle,,300,300,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_10,d_main_09_06_s,Speech,neon,neon,Locale_MainScenario:d_main_09_06_s_10,True,,3,angry,,1,idle,,13,idle,,S_130,S_130,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_11,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_11,True,,3,angry,,1,idle,,13,idle,,300,300,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_12,d_main_09_06_s,Speech,anis,anis,Locale_MainScenario:d_main_09_06_s_12,True,,3,sad,,1,idle,,13,idle,,300,30,2.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_13,d_main_09_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_06_s_13,True,,3,sad,,1,idle,,13,idle,,30,10,2.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_14,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_14,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_15,d_main_09_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_06_s_15,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_16,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_16,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_leftup,no,,,,,,
d_main_09_06_s_17,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_17,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,OP_leftup,delight,,,,,,
d_main_09_06_s_18,d_main_09_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_06_s_18,True,,3,void,,1,angry,,13,idle,,10,10,1.0,,,OP_leftup,delight,,,,,,
d_main_09_06_s_19,d_main_09_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_06_s_19,False,,3,void,,1,angry,,13,idle,,10,10,1.0,,,OP_leftup,idle,,,,,,
d_main_09_06_s_20,d_main_09_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_06_s_20,True,,3,void,,1,angry,,13,idle,,10,10,1.0,,,OP_leftup,idle,,,,,,
