id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_24_08_e_1,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_1,False,ElevatorOut,,,,,,1,1,0,,,,100,bgm_disaster,,None,None,,None,False,crow,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_2,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_2,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_3,d_main_24_08_e,,Narration,,Narration,Locale_MainScenario:d_main_24_08_e_3,False,,,,,,,1,10,1717986918,,sfx_scn_bang,,100,,Low_2,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_4,d_main_24_08_e,,Speech,crow,crow,Locale_MainScenario:d_main_24_08_e_4,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_5,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_5,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_6,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_6,False,,,,,,,10,100,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_7,d_main_24_08_e,,Self,,Self,Locale_MainScenario:d_main_24_08_e_7,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_8,d_main_24_08_e,,Speech,crow,crow,Locale_MainScenario:d_main_24_08_e_8,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,smile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_9,d_main_24_08_e,,Self,,Self,Locale_MainScenario:d_main_24_08_e_9,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,smile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_10,d_main_24_08_e,,Speech,crow,crow,Locale_MainScenario:d_main_24_08_e_10,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,smile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_11,d_main_24_08_e,,Narration,,Narration,Locale_MainScenario:d_main_24_08_e_11,False,,,,,,,100,1,1717986918,,sfx_scn_hit,,100,,Low_2,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_12,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_12,False,,,,,,,1,1,0,,,,100,,,Blur_Low,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_13,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_13,False,,,,,,,1,1,0,,,,100,,,Blur_Low,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_14,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_14,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_15,d_main_24_08_e,,Self,,Self,Locale_MainScenario:d_main_24_08_e_15,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_16,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_16,False,,,,,,,1,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_17,d_main_24_08_e,,Monologue,,Monologue,Locale_MainScenario:d_main_24_08_e_17,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_18,d_main_24_08_e,,Speech,crow,crow,Locale_MainScenario:d_main_24_08_e_18,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_24_08_e_19,d_main_24_08_e,,Self,,Self,Locale_MainScenario:d_main_24_08_e_19,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
