id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,jump_target
d_ex_goddessofvictory_06_1,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_1,True,anchor,5,delight,mast,3,sad,tia,1,delight,GoddessOfVictory,53,53,1.0,bgm_story_leisuretime,,,
d_ex_goddessofvictory_06_2,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_2,True,,5,shy,,3,sad,,1,delight,,53,53,1.0,,,,
d_ex_goddessofvictory_06_3,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_3,False,,5,delight,,3,sad,,1,delight,,53,53,1.0,,,,
d_ex_goddessofvictory_06_4,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_4,True,,5,delight,,3,sad,,1,delight,,53,31,1.0,,,,
d_ex_goddessofvictory_06_5,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_5,True,,5,delight,,3,sad,,1,delight,,31,31,1.0,,,,
d_ex_goddessofvictory_06_6,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_6,True,,5,delight,,3,sad,,1,shy,,31,31,1.0,,,,
d_ex_goddessofvictory_06_7,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_7,True,,5,delight,,3,sad2,,1,delight,,31,3,1.0,,,,
d_ex_goddessofvictory_06_8,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_8,True,,5,idle,,3,surprise,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_9,d_ex_goddessofvictory_06,Speech,mast,mast,Locale_SuddenStory:d_ex_goddessofvictory_06_9,True,,5,idle,,3,surprise,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_10,d_ex_goddessofvictory_06,Speech,anchor,anchor,Locale_SuddenStory:d_ex_goddessofvictory_06_10,True,,5,idle,,3,surprise,,1,idle,,3,3,1.0,,,,
d_ex_goddessofvictory_06_11,d_ex_goddessofvictory_06,Speech,tia,tia,Locale_SuddenStory:d_ex_goddessofvictory_06_11,True,,5,idle,,3,surprise,,1,idle,,3,3,1.0,,,,
