id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_subquest_1350_e_1,d_subquest_1350_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_e_1,True,anis,3,idle,rapi,1,idle,neon,13,idle,DestroyedStreet,30,30,1.0,none,,
d_subquest_1350_e_2,d_subquest_1350_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_e_2,True,,3,void,,1,idle,,13,surprise,,S_130,12,1.0,,,
d_subquest_1350_e_3,d_subquest_1350_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_e_3,True,,3,void,,1,idle,,13,surprise,,12,12,1.0,,,
d_subquest_1350_e_4,d_subquest_1350_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1350_e_4,True,,3,void,,1,idle,,13,surprise,,12,12,1.0,,,
d_subquest_1350_e_5,d_subquest_1350_e,Monologue,,,Locale_SubScenario:d_subquest_1350_e_5,False,,3,void,,1,idle,,13,surprise,,12,17,2.0,,,
d_subquest_1350_e_6,d_subquest_1350_e,Monologue,,,Locale_SubScenario:d_subquest_1350_e_6,False,,3,void,,1,idle,,13,surprise,,black,black,1.0,,,
d_subquest_1350_e_7,d_subquest_1350_e,Narration,,,Locale_SubScenario:d_subquest_1350_e_7,False,,3,void,,1,idle,,13,surprise,,black,black,1.0,bgm_story_tuffguys,sfx_scn_car,
d_subquest_1350_e_8,d_subquest_1350_e,Speech,milk,milk,Locale_SubScenario:d_subquest_1350_e_8,True,,3,void,,1,idle,,13,surprise,,black,black,1.0,,,
d_subquest_1350_e_9,d_subquest_1350_e,Speech,sugar,sugar,Locale_SubScenario:d_subquest_1350_e_9,True,,3,void,,1,idle,,13,surprise,,black,black,1.0,,,
d_subquest_1350_e_10,d_subquest_1350_e,Narration,,,Locale_SubScenario:d_subquest_1350_e_10,False,,3,void,,1,idle,,13,surprise,,black,black,1.0,,sfx_scn_car,
d_subquest_1350_e_11,d_subquest_1350_e,Monologue,,,Locale_SubScenario:d_subquest_1350_e_11,False,,3,void,,1,idle,,13,surprise,,17,12,0.5,,,Low_2
d_subquest_1350_e_12,d_subquest_1350_e,Narration,,,Locale_SubScenario:d_subquest_1350_e_12,False,,3,void,,1,idle,,13,surprise,,black,black,1.0,,,
d_subquest_1350_e_13,d_subquest_1350_e,Monologue,,,Locale_SubScenario:d_subquest_1350_e_13,False,,3,void,,1,idle,,13,surprise,,12,12,1.0,,,
d_subquest_1350_e_14,d_subquest_1350_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_e_14,True,,3,void,,1,idle,,13,surprise,,12,S_130,1.0,,,
d_subquest_1350_e_15,d_subquest_1350_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_e_15,True,,3,sad,,1,idle,,13,surprise,,30,30,1.0,,,
d_subquest_1350_e_16,d_subquest_1350_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1350_e_16,True,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,,
d_subquest_1350_e_17,d_subquest_1350_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1350_e_17,True,,3,worry,,1,idle,,13,surprise,,30,30,1.0,,,
