id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id
d_main_10_05_1,d_main_10_05,Speech,shifty,shifty,Locale_MainScenario:d_main_10_05_1,True,shifty,OP_leftup,idle,eunhwa,1,idle,anis,13,idle,vesti,15,idle,Desert_02_n,1,1,1.0,bgm_enemyclose,,,,,,
d_main_10_05_2,d_main_10_05,Speech,shifty,shifty,Locale_MainScenario:d_main_10_05_2,True,,OP_leftup,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,
d_main_10_05_3,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_3,True,,OP_leftup,idle,,1,idle,,13,idle,,15,idle,,1,12,1.0,,shifty,,,,,
d_main_10_05_4,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_4,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_5,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_5,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_6,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_6,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_7,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_7,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_8,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_8,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_9,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_9,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_10,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_10,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_11,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_11,False,,,,,1,angry,,13,idle,,15,idle,,12,10,1.0,,,,,,,
d_main_10_05_12,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_12,True,,,,,1,angry,,13,delight,,15,delight,,10,14,1.0,,,,,,,
d_main_10_05_13,d_main_10_05,Speech,vesti,vesti,Locale_MainScenario:d_main_10_05_13,True,,,,,1,angry,,13,delight,,15,delight,,14,14,1.0,,,,,,,
d_main_10_05_14,d_main_10_05,Speech,vesti,vesti,Locale_MainScenario:d_main_10_05_14,True,,,,,1,angry,,13,delight,,15,delight,,14,14,1.0,,,,,,,
d_main_10_05_15,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_15,True,,,,,1,angry,,13,delight,,15,delight,,14,14,1.0,,,,,,,
d_main_10_05_16,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_16,False,,,,,1,angry,,13,delight,,15,delight,,14,12,0.7,,,,,,,
d_main_10_05_17,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_17,True,,,,,1,angry,,13,no,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_18,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_18,True,,,,,1,angry,,13,idle,,15,idle,,12,12,1.0,,,,,,,
d_main_10_05_19,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_19,True,,,,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,vesti,,,,
d_main_10_05_20,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_20,True,,,,,1,idle,,13,void,,,,,12,130,1.0,,,,,,,
d_main_10_05_21,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_21,True,,,,,1,idle,,13,idle,,,,,130,130,1.0,,,,emma,3,idle,
d_main_10_05_22,d_main_10_05,Speech,neon,neon,Locale_MainScenario:d_main_10_05_22,True,,,,,1,idle,,13,idle,neon,15,idle,,130,14,1.0,,,,,3,idle,
d_main_10_05_23,d_main_10_05,Speech,anis,anis,Locale_MainScenario:d_main_10_05_23,True,,,,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,3,idle,
d_main_10_05_24,d_main_10_05,Speech,emma,emma,Locale_MainScenario:d_main_10_05_24,True,,,,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,3,delight,
d_main_10_05_25,d_main_10_05,Narration,,Narration,Locale_MainScenario:d_main_10_05_25,False,,,,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,neon,,3,delight,anis
d_main_10_05_26,d_main_10_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_05_26,True,,,,,1,idle,,,,,,,,1,10,1.0,,,,,3,delight,
