id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_filter_01,characters/5/hide_char_id
d_main_04_06_1,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_1,False,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,think,yuni,19,think,CityForest_01,170,170,1.0,bgm_mystery,,,,,
d_main_04_06_2,d_main_04_06,Speech,yuni,yuni,Locale_MainScenario:d_main_04_06_2,False,,1,idle,,3,void,,13,idle,,17,think,,19,think,,S_190,S_190,1.0,,,,,,
d_main_04_06_3,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_3,False,,1,idle,,3,void,,13,idle,,17,think,,19,think,,30,30,1.0,,,,,,
d_main_04_06_4,d_main_04_06,Speech,neon,neon,Locale_MainScenario:d_main_04_06_4,False,,1,idle,,3,void,,13,idle,,17,think,,19,think,,S_130,S_130,1.0,,,,,,
d_main_04_06_5,d_main_04_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04_06_5,False,,1,idle,,3,void,,13,idle,,17,think,,19,think,,10,10,1.0,,,,,,
d_main_04_06_6,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_6,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,30,30,1.0,,,,,,
d_main_04_06_7,d_main_04_06,Speech,neon,neon,Locale_MainScenario:d_main_04_06_7,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,30,S_130,1.0,,,,,,
d_main_04_06_8,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_8,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,170,170,1.0,,,,,,
d_main_04_06_9,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_9,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,170,170,1.0,,,,,,
d_main_04_06_10,d_main_04_06,Speech,neon,neon,Locale_MainScenario:d_main_04_06_10,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,S_130,S_130,1.0,,,,,,
d_main_04_06_11,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_11,True,,1,idle,,3,angry,,13,idle,,17,think,,19,think,,9,9,1.0,,snowwhite,9,idle,Grey,
d_main_04_06_12,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_12,True,,1,idle,,3,angry,,13,idle,,17,think,,19,think,,9,9,1.0,,snowwhite,9,idle,Grey,
d_main_04_06_13,d_main_04_06,Speech,neon,neon,Locale_MainScenario:d_main_04_06_13,True,,1,idle,,3,angry,,13,idle,,17,think,,19,think,,9,9,1.0,,snowwhite,9,idle,Grey,
d_main_04_06_14,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_14,True,,1,idle,,3,angry,,13,idle,,17,think,,19,think,,30,30,1.0,,,9,idle,,snowwhite
d_main_04_06_15,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_15,False,,1,idle,,3,void,,13,idle,,17,think,,19,think,,17,17,1.0,,,,,,
d_main_04_06_16,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_16,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,17,170,1.0,,,,,,
d_main_04_06_17,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_17,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,30,30,1.0,,,,,,
d_main_04_06_18,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_18,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,170,170,1.0,,,,,,
d_main_04_06_19,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_19,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,30,30,1.0,,,,,,
d_main_04_06_20,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_20,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,30,300,1.0,,,,,,
d_main_04_06_21,d_main_04_06,Self,anis,Self,Locale_MainScenario:d_main_04_06_21,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,300,300,1.0,,,,,,
d_main_04_06_22,d_main_04_06,Speech,anis,anis,Locale_MainScenario:d_main_04_06_22,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,300,300,1.0,,,,,,
d_main_04_06_23,d_main_04_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04_06_23,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,10,10,1.0,,,,,,
d_main_04_06_24,d_main_04_06,Speech,rapi,rapi,Locale_MainScenario:d_main_04_06_24,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,10,10,1.0,,,,,,
d_main_04_06_25,d_main_04_06,Self,rapi,Self,Locale_MainScenario:d_main_04_06_25,True,,1,idle,,3,void,,13,idle,,17,think,,19,think,,10,10,1.0,,,,,,
d_main_04_06_26,d_main_04_06,Speech,mihara,mihara,Locale_MainScenario:d_main_04_06_26,True,,1,idle,,3,void,,13,idle,,17,idle,,19,think,,170,1700,1.0,,,,,,
