id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,set_filter_01,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade
d_main_02af_07_1,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_1,True,syuen,5,angry,rapi,15,idle,anis,17,worry,neon,19,idle,NikkeRoom,5,XS_50,1.0,bgm_story_destinedtofight,,,,,,,,,,,,,,,,
d_main_02af_07_2,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_2,True,,5,angry,,15,idle,,17,worry,,19,idle,,XS_50,XS_50,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_3,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_3,True,,5,angry,,15,idle,,17,worry,,19,idle,,XS_50,XS_50,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_4,d_main_02af_07,Self,syuen,Self,Locale_MainScenario:d_main_02af_07_4,True,,5,angry,,15,idle,,17,worry,,19,idle,,XS_50,XS_50,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_5,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_5,True,,5,surprise,,15,idle,,17,worry,,19,idle,,XS_50,XS_50,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_6,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_6,True,,5,surprise,,15,idle,,17,worry,,19,idle,,XS_50,XS_500,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_7,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_7,True,,5,delight,,15,idle,,17,worry,,19,idle,,XS_500,XS_500,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_8,d_main_02af_07,Self,syuen,Self,Locale_MainScenario:d_main_02af_07_8,True,,5,delight,,15,idle,,17,worry,,19,idle,,XS_500,XS_500,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_9,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_9,True,,5,idle,,15,idle,,17,worry,,19,idle,,XS_500,XS_50,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_10,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_10,True,,5,idle,,15,idle,,17,worry,,19,idle,,XS_50,19,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_11,d_main_02af_07,Speech,neon,neon,Locale_MainScenario:d_main_02af_07_11,True,,5,idle,,15,idle,,17,worry,,19,idle,,19,19,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_12,d_main_02af_07,Speech,syuen,syuen,Locale_MainScenario:d_main_02af_07_12,True,,5,idle,,15,idle,,17,worry,,19,idle,,19,XS_50,1.0,,,,,,,,,,,,,,,,,
d_main_02af_07_13,d_main_02af_07,Speech,rapi,rapi,Locale_MainScenario:d_main_02af_07_13,False,,5,idle,,15,idle,,17,worry,,19,idle,,15,15,1.0,,,,,,,,,,,,,,,,,
