id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_subquest_1102_e_1,d_subquest_1102_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1102_e_1,True,rapi,1,idle,anis,13,angry,neon,15,idle,raptilion,5,idle,CityForest_03,130,130,1.0,bgm_story_whosdumber
d_subquest_1102_e_2,d_subquest_1102_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1102_e_2,True,,1,idle,,13,angry,,15,idle,,5,idle,,130,130,1.0,
d_subquest_1102_e_3,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_3,False,,1,idle,,13,angry,,15,idle,,5,idle,,130,raptilion_5,2.0,
d_subquest_1102_e_4,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_4,False,,1,idle,,13,angry,,15,idle,,5,idle,,raptilion_5,raptilion_5,1.0,
d_subquest_1102_e_5,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_5,False,,1,idle,,13,angry,,15,idle,,5,idle,,raptilion_5,raptilion_5,1.0,
d_subquest_1102_e_6,d_subquest_1102_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1102_e_6,True,,1,idle,,13,worry,,15,angry,,5,idle,,14,14,1.0,
d_subquest_1102_e_7,d_subquest_1102_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1102_e_7,True,,1,idle,,13,worry,,15,angry,,5,idle,,14,14,1.0,
d_subquest_1102_e_8,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_8,False,,1,idle,,13,void,,15,angry,,5,idle,,raptilion_5,raptilion_5,1.0,
d_subquest_1102_e_9,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_9,False,,1,idle,,13,void,,15,idle,,5,idle,,raptilion_5,raptilion_5,1.0,
d_subquest_1102_e_10,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_10,False,,1,idle,,13,void,,15,idle,,5,idle,,raptilion_5,raptilion_50,0.5,
d_subquest_1102_e_11,d_subquest_1102_e,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1102_e_11,False,,1,idle,,13,void,,15,idle,,5,idle,,raptilion_50,raptilion_50,1.0,
d_subquest_1102_e_12,d_subquest_1102_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1102_e_12,True,,1,think,,13,void,,15,idle,,5,idle,,raptilion_50,10,2.0,
d_subquest_1102_e_13,d_subquest_1102_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1102_e_13,True,,1,think,,13,void,,15,idle,,5,idle,,10,10,1.0,
