id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade
d_main_39_af_01_1,d_main_39_af_01,Narration,Locale_MainScenario:d_main_39_af_01_1,False,neon,1,idle,viper,13,idle,jackal,15,idle,OuterrimWall,black,black,1.0,bgm_manifest,,,
d_main_39_af_01_2,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_2,True,,1,idle,,13,idle,,15,idle,,17,1315,1.5,,viper,viper,
d_main_39_af_01_3,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_3,True,,1,idle,,13,idle,,15,crazy,,1315,1315,1.0,,jackal,jackal,
d_main_39_af_01_4,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_4,True,,1,idle,,13,idle,,15,crazy,,1315,113,1.5,,neon,neon,
d_main_39_af_01_5,d_main_39_af_01,Narration,Locale_MainScenario:d_main_39_af_01_5,False,,1,idle,,13,idle,,15,crazy,,black,black,1.0,,viper,,
d_main_39_af_01_6,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_6,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,,viper,viper,
d_main_39_af_01_7,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_7,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,,neon,neon,
d_main_39_af_01_8,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_8,True,,1,idle,,13,shy,,15,idle,,113,113,1.0,,viper,viper,
d_main_39_af_01_9,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_9,False,,1,idle,,13,shy,,15,idle,,113,113,1.0,,neon,neon,
d_main_39_af_01_10,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_10,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,,viper,viper,
d_main_39_af_01_11,d_main_39_af_01,Speech,Locale_MainScenario:d_main_39_af_01_11,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,,neon,neon,
