id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_main_09af_02_1,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_1,True,andersen,1,idle,Office,L_10,L_10,1.0,bgm_story_fairytalesend_b,,,,,,,,,,,,
d_main_09af_02_2,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_2,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_3,d_main_09af_02,Self,,,Locale_MainScenario:d_main_09af_02_3,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_4,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_4,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_5,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_5,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_6,d_main_09af_02,Self,,,Locale_MainScenario:d_main_09af_02_6,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_7,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_7,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_8,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_8,True,,1,idle,,L_10,L_10,1.0,,rapi,5,idle,,,,,,,,,
d_main_09af_02_9,d_main_09af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_02_9,False,,1,idle,,50,50,1.0,,,5,idle,anis,7,pain,neon,9,worry,,,
d_main_09af_02_10,d_main_09af_02,Speech,anis,anis,Locale_MainScenario:d_main_09af_02_10,False,,1,idle,,70,70,1.0,,,5,idle,,7,pain,,9,worry,,,
d_main_09af_02_11,d_main_09af_02,Speech,neon,neon,Locale_MainScenario:d_main_09af_02_11,False,,1,idle,,S_90,S_90,1.0,,,5,idle,,7,pain,,9,worry,,,
d_main_09af_02_12,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_12,True,,1,idle,,S_90,L_10,1.0,,,5,idle,,7,pain,,9,worry,,,
d_main_09af_02_13,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_13,True,,1,idle,,L_10,L_10,1.0,,,5,idle,,7,pain,,9,worry,rapi,anis,neon
d_main_09af_02_14,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_14,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_15,d_main_09af_02,Self,,,Locale_MainScenario:d_main_09af_02_15,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_16,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_16,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_17,d_main_09af_02,Self,,,Locale_MainScenario:d_main_09af_02_17,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_18,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_18,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_19,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_19,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_20,d_main_09af_02,Self,,,Locale_MainScenario:d_main_09af_02_20,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_21,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_21,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_22,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_22,True,,1,idle,,L_10,L_100,1.0,,,,,,,,,,,,,
d_main_09af_02_23,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_23,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,
d_main_09af_02_24,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_24,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,
d_main_09af_02_25,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_25,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,
d_main_09af_02_26,d_main_09af_02,Self,,,Locale_MainScenario:d_main_09af_02_26,False,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,,
d_main_09af_02_27,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_27,True,,1,idle,,L_100,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_28,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_28,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
d_main_09af_02_29,d_main_09af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_09af_02_29,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,,
