id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_main_15_07_e_1,d_main_15_07_e,Speech,rapi,rapi,Locale_MainScenario:d_main_15_07_e_1,True,rapi,6,idle,anis,4,idle,neon,2,idle,dolla,12,idle,yan,14,idle,rupee,16,idle,JunkMountain,6,6,1.0,ambient_scn_wind,
d_main_15_07_e_2,d_main_15_07_e,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_e_2,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,16,16,1.0,,
d_main_15_07_e_3,d_main_15_07_e,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_e_3,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,16,L_160,1.0,,
d_main_15_07_e_4,d_main_15_07_e,Speech,rupee,rupee,Locale_MainScenario:d_main_15_07_e_4,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,delight,,L_160,L_1600,0.3,,
d_main_15_07_e_5,d_main_15_07_e,Speech,anis,anis,Locale_MainScenario:d_main_15_07_e_5,True,,6,idle,,4,shy,,2,idle,,12,idle,,14,idle,,16,delight,,4,4,1.0,,
d_main_15_07_e_6,d_main_15_07_e,Speech,neon,neon,Locale_MainScenario:d_main_15_07_e_6,True,,6,idle,,4,shy,,2,delight,,12,idle,,14,idle,,16,idle,,4,2,0.5,,
d_main_15_07_e_7,d_main_15_07_e,Speech,anis,anis,Locale_MainScenario:d_main_15_07_e_7,True,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,2,3,1.0,,
d_main_15_07_e_8,d_main_15_07_e,Speech,anis,anis,Locale_MainScenario:d_main_15_07_e_8,True,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,16,idle,,3,3,1.0,,
d_main_15_07_e_9,d_main_15_07_e,Speech,neon,neon,Locale_MainScenario:d_main_15_07_e_9,True,,6,idle,,4,angry,,2,angry,,12,idle,,14,idle,,16,idle,,3,3,1.0,,
d_main_15_07_e_10,d_main_15_07_e,Speech,neon,neon,Locale_MainScenario:d_main_15_07_e_10,True,,6,idle,,4,angry,,2,angry,,12,idle,,14,idle,,16,idle,,3,3,1.0,,
