id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
d_main_01_05_1,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_1,True,rapi,13,idle,anis,15,void,CityForest_01,1315,1315,1.0,bgm_distress_b,,,,,
d_main_01_05_2,d_main_01_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01_05_2,False,,13,idle,,15,void,,1315,1315,1.0,,,,,,
d_main_01_05_3,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_3,True,,13,idle,,15,void,,1315,1315,1.0,,,,,,
d_main_01_05_4,d_main_01_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01_05_4,True,,13,idle,,15,void,,1315,130,1.0,,,,,,
d_main_01_05_5,d_main_01_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01_05_5,True,,13,idle,,15,void,,130,130,1.0,,,,,,
d_main_01_05_6,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_6,True,,13,idle,,15,void,,130,130,1.0,,shifty,OP_leftup,idle,,
d_main_01_05_7,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_7,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_8,d_main_01_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01_05_8,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_9,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_9,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_10,d_main_01_05,Speech,anis,anis,Locale_MainScenario:d_main_01_05_10,True,,13,idle,,15,angry,,130,150,1.0,,,OP_leftup,idle,,
d_main_01_05_11,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_11,True,,13,idle,,15,angry,,150,150,1.0,,,OP_leftup,surprise,,
d_main_01_05_12,d_main_01_05,Speech,anis,anis,Locale_MainScenario:d_main_01_05_12,True,,13,idle,,15,angry,,150,150,1.0,,,OP_leftup,surprise,,
d_main_01_05_13,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_13,True,,13,idle,,15,angry,,150,150,1.0,,,OP_leftup,idle,,
d_main_01_05_14,d_main_01_05,Speech,anis,anis,Locale_MainScenario:d_main_01_05_14,True,,13,idle,,15,void,,150,1500,1.0,,,OP_leftup,idle,,
d_main_01_05_15,d_main_01_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01_05_15,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_16,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_16,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_17,d_main_01_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01_05_17,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_18,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_18,True,,13,idle,,15,void,,130,130,1.0,,,OP_leftup,idle,,
d_main_01_05_19,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_19,True,,13,idle,,15,void,,130,1315,1.0,,,OP_center,idle,rapi,anis
d_main_01_05_20,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_20,True,,,,,,,,1315,1315,1.0,,,OP_center,idle,,
d_main_01_05_21,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_21,True,,,,,,,,1315,1315,1.0,,,OP_center,idle,,
d_main_01_05_22,d_main_01_05,Self,Self,Self,Locale_MainScenario:d_main_01_05_22,True,,,,,,,,1315,1315,1.0,,,OP_center,idle,,
d_main_01_05_23,d_main_01_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01_05_23,True,,,,,,,,1315,1315,1.0,,,OP_center,idle,,
