id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,set_camera_shake
d_main_12af_02_1,d_main_12af_02,Speech,anis,anis,Locale_MainScenario:d_main_12af_02_1,False,syuen,3,idle,ingrid,5,idle,anis,1,void,rapi,13,idle,neon,15,idle,mihara,17,idle,yuni,19,idle,CommanderRoom,10,10,1.0,bgm_story_stormbreakers,,,,,,,,
d_main_12af_02_2,d_main_12af_02,Speech,neon,neon,Locale_MainScenario:d_main_12af_02_2,False,,3,idle,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,S_150,S_150,1.0,,,,,,,,,
d_main_12af_02_3,d_main_12af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_12af_02_3,False,,3,idle,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,130,130,1.0,,,,,,,,,
d_main_12af_02_4,d_main_12af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_12af_02_4,True,,3,idle,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,S_30,S_30,1.0,,,,,,,,,
d_main_12af_02_5,d_main_12af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_02_5,True,,3,idle,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,S_30,53,1.0,,,,,,,,,
d_main_12af_02_6,d_main_12af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_12af_02_6,True,,3,angry,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,53,53,1.0,,,,,,,,,
d_main_12af_02_7,d_main_12af_02,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_02_7,True,,3,angry,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,53,53,1.0,,,,,,,,,
d_main_12af_02_8,d_main_12af_02,Speech,mihara,mihara,Locale_MainScenario:d_main_12af_02_8,True,,3,angry,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,idle,,1719,1719,1.0,,,,,,,,,
d_main_12af_02_9,d_main_12af_02,Speech,yuni,yuni,Locale_MainScenario:d_main_12af_02_9,True,,3,angry,,5,idle,,1,void,,13,idle,,15,idle,,17,idle,,19,think,,1719,1719,1.0,,,,,,,,,
d_main_12af_02_10,d_main_12af_02,Speech,mihara,mihara,Locale_MainScenario:d_main_12af_02_10,True,,3,angry,,5,idle,,1,void,,13,idle,,15,idle,,17,surprise,,19,think,,1719,1719,1.0,,,,,,,,,
d_main_12af_02_11,d_main_12af_02,Speech,yuni,yuni,Locale_MainScenario:d_main_12af_02_11,True,,3,angry,,5,idle,,1,void,,13,idle,,15,idle,,17,surprise,,19,idle,,1719,1719,1.0,,,,,,,,,
d_main_12af_02_12,d_main_12af_02,Speech,anis,anis,Locale_MainScenario:d_main_12af_02_12,True,,3,angry,,5,idle,,1,idle,,13,idle,,15,idle,,17,surprise,,19,idle,,10,10,1.0,,,,,,,,,
d_main_12af_02_13,d_main_12af_02,Speech,yuni,yuni,Locale_MainScenario:d_main_12af_02_13,True,,3,angry,,5,idle,,1,idle,,13,idle,,15,idle,,17,surprise,,19,idle,,S_190,S_190,1.0,,anis,,,,,,,
