id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/hide_char_id,conversation_id,play_sound
d_main_14af_01_1,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_1,True,anis,3,idle,privaty,1,sad,rapi,13,idle,neon,15,idle,CommanderRoom,1,S_10,2.0,bgm_story_destinedtofight,,,,
d_main_14af_01_2,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_2,True,,3,idle,,1,sad,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,
d_main_14af_01_3,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_3,True,,3,idle,,1,angry,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,
d_main_14af_01_4,d_main_14af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_14af_01_4,True,,3,idle,,1,angry,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_14af_01_5,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_5,True,,3,idle,,1,angry,,13,idle,,15,idle,,130,S_10,0.5,,,,,
d_main_14af_01_6,d_main_14af_01,Speech,anis,anis,Locale_MainScenario:d_main_14af_01_6,True,,3,idle,,1,angry,,13,idle,,15,idle,,30,30,1.0,,,,,
d_main_14af_01_7,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_7,True,,3,idle,,1,surprise,,13,idle,,15,idle,,30,S_10,0.3,,,,,
d_main_14af_01_8,d_main_14af_01,Speech,neon,neon,Locale_MainScenario:d_main_14af_01_8,True,,3,idle,,1,surprise,,13,idle,,15,surprise,,S_150,S_150,1.0,,,,,
d_main_14af_01_9,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_9,True,,3,idle,,1,shy,,13,idle,,15,surprise,,1,S_10,0.3,,,,,
d_main_14af_01_10,d_main_14af_01,Choice,privaty,,Locale_MainScenario:d_main_14af_01_10,False,,3,idle,,1,shy,,13,idle,,15,idle,,S_10,S_10,1.0,,d_main_14af_01_12,,,
d_main_14af_01_11,d_main_14af_01,Choice,privaty,,Locale_MainScenario:d_main_14af_01_11,False,,3,idle,,1,shy,,13,idle,,15,idle,,S_10,S_10,1.0,,d_main_14af_01_12,,,
d_main_14af_01_12,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_12,True,,3,idle,,1,sad,,13,idle,,15,idle,,S_10,S_100,2.0,,,,,
d_main_14af_01_13,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_13,True,,3,idle,,1,sad,,13,idle,,15,idle,,S_100,S_100,1.0,,,,,
d_main_14af_01_14,d_main_14af_01,Self,privaty,Self,Locale_MainScenario:d_main_14af_01_14,False,,3,idle,,1,sad,,13,idle,,15,idle,,S_100,S_100,1.0,none,,,,
d_main_14af_01_15,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_15,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_100,S_10,2.0,,,,,
d_main_14af_01_16,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_16,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,bgm_story_leisuretime,,,,
d_main_14af_01_17,d_main_14af_01,Speech,anis,anis,Locale_MainScenario:d_main_14af_01_17,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_10,2,1.0,,,,,
d_main_14af_01_18,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_18,True,,3,idle,,1,idle,,13,idle,,15,idle,,2,2,1.0,,,,,
d_main_14af_01_19,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_19,True,,3,idle,,1,idle,,13,idle,,15,idle,,2,S_10,1.0,,,,,
d_main_14af_01_20,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_20,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,
d_main_14af_01_21,d_main_14af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_14af_01_21,True,,3,idle,,1,idle,,13,think,,15,idle,,S_10,12,2.0,,,,,
d_main_14af_01_22,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_22,False,,3,idle,,1,sad,,13,think,,15,idle,,12,12,1.0,,,,,
d_main_14af_01_23,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_23,True,,3,idle,,1,sad,,13,idle,,15,idle,,12,1,1.0,,,,,
d_main_14af_01_24,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_24,True,,3,idle,,1,idle,,13,idle,,15,idle,,1,S_10,2.0,,,,,
d_main_14af_01_25,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_25,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,
d_main_14af_01_26,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_26,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,
d_main_14af_01_27,d_main_14af_01,Speech,anis,anis,Locale_MainScenario:d_main_14af_01_27,True,,3,idle,,1,idle,,13,idle,,15,idle,,S_10,30,1.0,,,,,
d_main_14af_01_28,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_28,True,,3,idle,,1,shy,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,
d_main_14af_01_29,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_29,True,,3,idle,,1,shy,,13,idle,,15,idle,,S_10,S_100,0.5,,,,,
d_main_14af_01_30,d_main_14af_01,Speech,anis,anis,Locale_MainScenario:d_main_14af_01_30,True,,3,shy,,1,shy,,13,idle,,15,idle,,2,2,1.0,,,,,
d_main_14af_01_31,d_main_14af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_14af_01_31,True,,3,shy,,1,surprise,,13,idle,,15,idle,,2,2,1.0,,,,,
