id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,jump_target,characters/3/hide_char_id
d_main_09_03_1,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_1,True,exia_op,OP_center,idle,WasteLand_03,10,10,1.0,bgm_mystery,,,,,,,,,,,,,,
d_main_09_03_2,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_2,True,,OP_center,idle,,10,10,1.0,,,,,,,,,,,,,,,
d_main_09_03_3,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_3,True,,OP_center,idle,,10,10,1.0,,,,,,,,,,,,,,,
d_main_09_03_4,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_4,True,,OP_center,idle,,10,10,1.0,,,,,,,,,,,,,,,
d_main_09_03_5,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_5,True,,OP_center,idle,,10,10,1.0,,,,,,,,,,,,,,,
d_main_09_03_6,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_6,True,,OP_leftup,idle,,10,10,1.0,,anis,3,void,rapi,1,idle,neon,13,idle,shifty_r,OP_rightup,idle,,
d_main_09_03_7,d_main_09_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_03_7,True,,OP_leftup,idle,,10,10,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,no,,
d_main_09_03_8,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_8,False,,OP_leftup,idle,,10,10,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,no,,
d_main_09_03_9,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_9,True,,OP_leftup,idle,,10,10,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,no,,
d_main_09_03_10,d_main_09_03,Speech,neon,neon,Locale_MainScenario:d_main_09_03_10,True,,OP_leftup,idle,,10,12,1.0,,,3,angry,,1,worry,,13,surprise,,OP_rightup,surprise,,
d_main_09_03_11,d_main_09_03,Speech,anis,anis,Locale_MainScenario:d_main_09_03_11,True,,OP_leftup,idle,,12,2,1.0,,,3,angry,,1,worry,,13,surprise,,OP_rightup,idle,,
d_main_09_03_12,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_12,True,,OP_leftup,idle,,2,2,1.0,,,3,angry,,1,worry,,13,surprise,,OP_rightup,idle,,
d_main_09_03_13,d_main_09_03,Choice,exia_op,,Locale_MainScenario:d_main_09_03_13,False,,OP_leftup,idle,,2,2,1.0,,,3,angry,,1,worry,,13,surprise,,OP_rightup,idle,d_main_09_03_15,
d_main_09_03_14,d_main_09_03,Choice,exia_op,,Locale_MainScenario:d_main_09_03_14,False,,OP_leftup,idle,,2,2,1.0,,,3,angry,,1,worry,,13,surprise,,OP_rightup,idle,d_main_09_03_15,
d_main_09_03_15,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_15,True,,OP_leftup,idle,,2,2,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,idle,,
d_main_09_03_16,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_16,True,,OP_leftup,idle,,2,2,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,idle,,
d_main_09_03_17,d_main_09_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_03_17,True,,OP_leftup,idle,,2,2,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,idle,,
d_main_09_03_18,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_18,True,,OP_leftup,idle,,2,2,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,idle,,
d_main_09_03_19,d_main_09_03,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_03_19,True,,OP_leftup,idle,,2,2,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,idle,,
d_main_09_03_20,d_main_09_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_03_20,True,,OP_leftup,idle,,2,2,1.0,,,3,void,,1,idle,,13,idle,,OP_rightup,no,,exia_op
d_main_09_03_21,d_main_09_03,Speech,anis,anis,Locale_MainScenario:d_main_09_03_21,True,,,,,2,30,1.0,,,3,idle,,1,idle,,13,idle,,OP_rightup,no,,
d_main_09_03_22,d_main_09_03,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_03_22,True,,,,,30,30,1.0,,,3,idle,,1,idle,,13,idle,,OP_rightup,surprise,,
