id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
d_main_01_07_s_1,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_1,True,CityForest_03,1,1,1.0,ambient_scn_wind,,,marian,1,sad,,rapi,13,idle,,anis,15,void,,,,,
d_main_01_07_s_2,d_main_01_07_s,Speech,anis,anis,Locale_MainScenario:d_main_01_07_s_2,True,,1,1315,1.0,,,,,1,sad,,,13,idle,,,15,void,,,,,
d_main_01_07_s_3,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_3,True,,1315,1315,1.0,,,,,1,sad,,,13,idle,,,15,void,,,,,
d_main_01_07_s_4,d_main_01_07_s,Speech,anis,anis,Locale_MainScenario:d_main_01_07_s_4,True,,1315,1315,1.0,,,,,1,sad,,,13,idle,,,15,void,,,,,
d_main_01_07_s_5,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_5,True,,1,1,1.0,,,,,1,sad,,,13,idle,,,15,void,,,,,
d_main_01_07_s_6,d_main_01_07_s,Narration,Narration,Narration,Locale_MainScenario:d_main_01_07_s_6,True,,1,1,1.0,,,,,8,sad,,,13,idle,,,15,void,,,,,
d_main_01_07_s_7,d_main_01_07_s,Speech,anis,anis,Locale_MainScenario:d_main_01_07_s_7,True,,1,1315,1.0,,,,,8,sad,,,13,idle,,,15,void,,,,,
d_main_01_07_s_8,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_8,True,,1315,1315,1.0,,,,,8,sad,,,13,idle,,,15,void,,shifty,OP_leftup,think,
d_main_01_07_s_9,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_9,True,,1315,1315,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_10,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_10,True,,1315,1315,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_11,d_main_01_07_s,Narration,Narration,Narration,Locale_MainScenario:d_main_01_07_s_11,True,,1315,130,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_12,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_12,False,,130,1300,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_13,d_main_01_07_s,Narration,Narration,Narration,Locale_MainScenario:d_main_01_07_s_13,True,,1300,8,1.0,none,sfx_scn_aim,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_14,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_14,True,,8,8,1.0,bgm_mystery,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_15,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_15,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_16,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_16,True,,130,130,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_17,d_main_01_07_s,Speech,anis,anis,Locale_MainScenario:d_main_01_07_s_17,True,,150,150,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_18,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_18,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_19,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_19,True,,130,1300,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_20,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_20,True,,1300,1300,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_21,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_21,True,,1300,1300,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_22,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_22,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_23,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_23,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_24,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_24,True,,1300,1300,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_25,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_25,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_26,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_26,True,,1300,1300,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_27,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_27,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_28,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_28,True,,8,8,1.0,,,,,8,sad,,,13,idle,,,15,void,,,OP_leftup,think,
d_main_01_07_s_29,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_29,True,,8,80,0.5,,,,,8,special,,,13,idle,,,15,void,,,OP_leftup,angry,
d_main_01_07_s_30,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_30,True,,80,800,1.0,bgm_disaster,,,,8,special,,,13,idle,,,15,void,,,OP_leftup,angry,
d_main_01_07_s_31,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_31,False,,1315,1315,1.0,,,,,8,special,,,13,idle,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_32,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_32,True,,1315,1315,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_33,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_33,True,,1315,1315,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_34,d_main_01_07_s,Self,Self,Self,Locale_MainScenario:d_main_01_07_s_34,True,,1315,1315,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_35,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_35,True,,1315,1315,0.5,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_36,d_main_01_07_s,Speech,marian,marian,Locale_MainScenario:d_main_01_07_s_36,True,,80,800,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_37,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_37,True,,1315,1315,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_38,d_main_01_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_07_s_38,True,,1315,130,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_39,d_main_01_07_s,Narration,Narration,Narration,Locale_MainScenario:d_main_01_07_s_39,True,,130,1315,1.0,,sfx_scn_earthquake,Low,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_40,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_40,True,,1315,1315,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
d_main_01_07_s_41,d_main_01_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_01_07_s_41,True,,1315,1315,1.0,,,,,8,special,,,13,angry,,,15,angry,,,OP_leftup,angry,
