id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_29_09_s_1,d_main_29_09_s,,Speech,shifty,shifty,Locale_MainScenario:d_main_29_09_s_1,True,CrystalField_2,,,,,,2,2,0,,,,100,bgm_enemyclose,,None,None,,None,False,rapi,,7,idle,anis,,5,idle,neon,,3,idle,elegg,,1,surprise,fragile,,13,idle,drilley,,15,idle,shifty,,OP_leftup,surprise,trony_op_r,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_2,d_main_29_09_s,,Speech,elegg,elegg,Locale_MainScenario:d_main_29_09_s_2,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_3,d_main_29_09_s,,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_09_s_3,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_4,d_main_29_09_s,,Speech,neon,neon,Locale_MainScenario:d_main_29_09_s_4,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_5,d_main_29_09_s,,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_s_5,True,,,,,,,2,13,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_6,d_main_29_09_s,,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_6,False,,,,,,,13,S_130,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_7,d_main_29_09_s,,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_7,False,,,,,,,S_130,S_130,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,1,surprise,,,13,idle,,,15,idle,,,OP_leftup,surprise,,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_8,d_main_29_09_s,,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_8,False,White,,,,,,S_130,16,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,elegg,1,surprise,,fragile,13,idle,,drilley,15,idle,,shifty,OP_leftup,surprise,,trony_op_r,OP_rightup,idle,,,,,,,,,,,,False,,,,False
d_main_29_09_s_9,d_main_29_09_s,,Monologue,fragile,,Locale_MainScenario:d_main_29_09_s_9,False,,,,,,,16,16,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_29_09_s_10,d_main_29_09_s,,Speech,anis,anis,Locale_MainScenario:d_main_29_09_s_10,True,CrystalField_2,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,elegg,,1,surprise,fragile,,13,idle,drilley,,15,idle,shifty,,OP_leftup,surprise,trony_op_r,,OP_rightup,idle,,,,,,,,,,,,False,,,,False
