id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_23_06_e_1,d_main_23_06_e,Speech,anis,anis,Locale_MainScenario:d_main_23_06_e_1,True,Drain,30,30,1.0,bgm_greyhaze_b,,,,,,anis,3,idle,,neon,5,idle,rapi,7,idle,viper,1,angry,,crow,13,idle,,jackal,15,no,
d_main_23_06_e_2,d_main_23_06_e,Speech,viper,viper,Locale_MainScenario:d_main_23_06_e_2,True,,10,10,1.0,,,,,,,,3,idle,,,5,idle,,7,idle,,1,angry,,,13,idle,,,15,no,
d_main_23_06_e_3,d_main_23_06_e,Speech,neon,neon,Locale_MainScenario:d_main_23_06_e_3,True,,S_50,S_50,1.0,,,,,,,,3,idle,,,5,delight,,7,idle,,1,angry,,,13,idle,,,15,no,
d_main_23_06_e_4,d_main_23_06_e,Speech,jackal,jackal,Locale_MainScenario:d_main_23_06_e_4,True,,S_150,S_150,1.0,,,,,,,,3,idle,,,5,delight,,7,idle,,1,angry,,,13,idle,,,15,no,
d_main_23_06_e_5,d_main_23_06_e,Speech,crow,crow,Locale_MainScenario:d_main_23_06_e_5,False,,130,13,1.0,,,,,,,,3,idle,,,5,delight,,7,idle,,1,angry,,,13,idle,,,15,no,
d_main_23_06_e_6,d_main_23_06_e,Narration,,,Locale_MainScenario:d_main_23_06_e_6,False,,13,13,1.0,,sfx_scn_earthquake,Low_2,Red,,,,3,idle,,,5,idle,,7,idle,,1,idle,,,13,idle,,,15,no,
d_main_23_06_e_7,d_main_23_06_e,Monologue,,,Locale_MainScenario:d_main_23_06_e_7,False,,13,13,1.0,bgm_emergency,,,Red,,,,3,idle,,,5,idle,,7,idle,,1,idle,,,13,idle,,,15,no,
d_main_23_06_e_8,d_main_23_06_e,Speech,crow,crow,Locale_MainScenario:d_main_23_06_e_8,True,,13,13,1.0,,,,Red,,,,3,angry,,,5,idle,,7,idle,,1,idle,,,13,idle,,,15,no,
d_main_23_06_e_9,d_main_23_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_23_06_e_9,True,,7,7,1.0,,,,Red,,,,3,angry,,,5,idle,,7,idle,,1,idle,,,13,idle,,,15,no,
d_main_23_06_e_10,d_main_23_06_e,Speech,crow,crow,Locale_MainScenario:d_main_23_06_e_10,True,,13,13,1.0,,,,Red,,,,3,angry,,,5,idle,,7,idle,,1,idle,,,13,idle,,,15,no,
d_main_23_06_e_11,d_main_23_06_e,Speech,crow,crow,Locale_MainScenario:d_main_23_06_e_11,True,,13,13,1.0,,,,Red,,,,3,angry,,,5,idle,,7,idle,,1,idle,,,13,idle,,,15,no,
