id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_17af_04_1,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_1,True,Corridor,,,,,,1,1,0,,,,100,none,,None,None,,None,False,syuen,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_2,d_main_17af_04,,Choice,syuen,,Locale_MainScenario:d_main_17af_04_2,False,,,,,,,1,1,0,,,,100,,,None,None,d_main_17af_04_4,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_3,d_main_17af_04,,Choice,syuen,,Locale_MainScenario:d_main_17af_04_3,False,,,,,,,1,1,0,,,,100,,,None,None,d_main_17af_04_5,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_4,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_4,True,,,,,,,1,1,0,,,,100,,,None,None,d_main_17af_04_7,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_5,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_5,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_6,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_6,True,,,,,,,1,1,0,,,,100,,,None,None,d_main_17af_04_7,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_7,d_main_17af_04,,Self,syuen,,Locale_MainScenario:d_main_17af_04_7,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_8,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_8,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_9,d_main_17af_04,,Self,syuen,,Locale_MainScenario:d_main_17af_04_9,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_10,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_10,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_11,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_11,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_12,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_12,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_13,d_main_17af_04,,Self,syuen,,Locale_MainScenario:d_main_17af_04_13,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_14,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_14,True,,,,,,,1,XS_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_17af_04_15,d_main_17af_04,,Speech,syuen,syuen,Locale_MainScenario:d_main_17af_04_15,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
