id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_subquest_1301_1,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_1,True,neon,3,idle,anis,1,idle,rapi,13,idle,Desert_01,12,12,1.0,bgm_story_whosdumber,
d_subquest_1301_2,d_subquest_1301,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1301_2,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1301_3,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_3,True,,3,idle,,1,delight,,13,idle,,12,12,1.0,,
d_subquest_1301_4,d_subquest_1301,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1301_4,True,,3,idle,,1,delight,,13,think,,12,12,1.0,,
d_subquest_1301_5,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_5,True,,3,idle,,1,worry,,13,think,,12,12,1.0,,
d_subquest_1301_6,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_6,True,,3,delight,,1,worry,,13,idle,,12,2,1.0,,
d_subquest_1301_7,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_7,True,,3,no,,1,worry,,13,idle,,2,S_30,0.3,,Low_2
d_subquest_1301_8,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_8,True,,3,no,,1,no,,13,idle,,S_30,10,1.0,,
d_subquest_1301_9,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_9,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,
d_subquest_1301_10,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_10,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,
d_subquest_1301_11,d_subquest_1301,Self,,Self,Locale_SubScenario:d_subquest_1301_11,False,,3,idle,,1,idle,,13,idle,,10,10,1.0,,
d_subquest_1301_12,d_subquest_1301,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1301_12,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,
d_subquest_1301_13,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_13,True,,3,surprise,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1301_14,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_14,True,,3,surprise,,1,idle,,13,idle,,2,2,1.0,,
d_subquest_1301_15,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_15,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,
d_subquest_1301_16,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_16,True,,3,idle,,1,delight,,13,idle,,2,10,1.0,,
d_subquest_1301_17,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_17,True,,3,idle,,1,delight,,13,idle,,10,10,1.0,,
d_subquest_1301_18,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_18,True,,3,delight,,1,delight,,13,idle,,10,S_30,0.7,,
d_subquest_1301_19,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_19,True,,3,delight,,1,idle,,13,idle,,S_30,S_30,1.0,,
d_subquest_1301_20,d_subquest_1301,Speech,neon,neon,Locale_SubScenario:d_subquest_1301_20,True,,3,angry,,1,idle,,13,idle,,S_30,S_300,0.3,,Low_2
d_subquest_1301_21,d_subquest_1301,Speech,anis,anis,Locale_SubScenario:d_subquest_1301_21,True,,3,angry,,1,angry,,13,idle,,S_300,100,0.3,,Low_2
d_subquest_1301_22,d_subquest_1301,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1301_22,True,,3,angry,,1,angry,,13,think,,100,130,2.0,,
