id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_ex_gym_09_1,d_ex_gym_09,,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_1,True,Gym,,,,,,30,30,0,,,,100,none,,None,None,,None,False,folkwang,,7,idle,epinel,,5,idle,rumani,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_2,d_ex_gym_09,,Speech,epinel,epinel,Locale_SuddenStory:d_ex_gym_09_2,True,,,,,,,30,XS_50,0,,,,100,bgm_story_onlineshopping,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_3,d_ex_gym_09,,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_gym_09_3,True,,,,,,,XS_50,70,0,,,,100,,,None,None,,None,False,,,7,pain,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_4,d_ex_gym_09,,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_4,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,7,pain,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_5,d_ex_gym_09,,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_5,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_6,d_ex_gym_09,,Speech,epinel,epinel,Locale_SuddenStory:d_ex_gym_09_6,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_7,d_ex_gym_09,,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_7,True,,,,,,,4,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_8,d_ex_gym_09,,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_8,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_9,d_ex_gym_09,,Self,rumani,Self,Locale_SuddenStory:d_ex_gym_09_9,False,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_gym_09_10,d_ex_gym_09,,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_09_10,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,7,idle,,,5,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
