id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_main_03_06_1,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_1,True,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_01,1,10,1.0,ambient_scn_wind,,,,,,
d_main_03_06_2,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_2,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,10,1.0,,,,,,,
d_main_03_06_3,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_3,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,100,1.0,,,,,,,
d_main_03_06_4,d_main_03_06,Narration,rapi,Narration,Locale_MainScenario:d_main_03_06_4,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,100,100,1.0,none,sfx_scn_raptureaim,,,,,
d_main_03_06_5,d_main_03_06,Speech,neon,neon,Locale_MainScenario:d_main_03_06_5,True,,1,idle,,3,void,,13,no,,17,idle,,19,idle,,S_130,S_1300,0.5,,,,,,,
d_main_03_06_6,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_6,False,,1,angry,,3,void,,13,idle,,17,idle,,19,idle,,10,100,0.5,,,,,,,
d_main_03_06_7,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_7,True,,1,angry,,3,void,,13,idle,,17,idle,,19,idle,,170,1700,1.0,,,,,,,
d_main_03_06_8,d_main_03_06,Speech,yuni,yuni,Locale_MainScenario:d_main_03_06_8,True,,1,angry,,3,void,,13,idle,,17,idle,,19,idle,,S_190,S_1900,1.0,,,,,,,
d_main_03_06_9,d_main_03_06,Narration,yuni,Narration,Locale_MainScenario:d_main_03_06_9,True,,1,angry,,3,void,,13,idle,,17,idle,,19,idle,none,black,black,1.0,,,rapi,anis,neon,mihara,yuni
d_main_03_06_10,d_main_03_06,Narration,yuni,Narration,Locale_MainScenario:d_main_03_06_10,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,black,black,1.0,,,,,,,
d_main_03_06_11,d_main_03_06,Narration,yuni,Narration,Locale_MainScenario:d_main_03_06_11,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,black,black,1.0,,sfx_scn_rapturebeam,,,,,
d_main_03_06_12,d_main_03_06,Speech,anis,anis,Locale_MainScenario:d_main_03_06_12,True,rapi,1,idle,anis,3,angry,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_01,black,black,1.0,,,,,,,
d_main_03_06_13,d_main_03_06,Speech,neon,neon,Locale_MainScenario:d_main_03_06_13,True,,1,idle,,3,angry,,13,no,,17,idle,,19,idle,,S_130,S_1300,0.5,,,,,,,
d_main_03_06_14,d_main_03_06,Narration,neon,Narration,Locale_MainScenario:d_main_03_06_14,True,,1,idle,,3,angry,,13,idle,,17,idle,,19,idle,none,black,black,1.0,,sfx_scn_explosions,rapi,anis,neon,mihara,yuni
d_main_03_06_15,d_main_03_06,Speech,anis,anis,Locale_MainScenario:d_main_03_06_15,True,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_01,3,3,1.0,,,,,,,
d_main_03_06_16,d_main_03_06,Speech,anis,anis,Locale_MainScenario:d_main_03_06_16,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,3,30,1.0,,,,,,,
d_main_03_06_17,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_17,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,30,10,1.0,bgm_mystery,,,,,,
d_main_03_06_18,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_18,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,10,10,1.0,,,,,,,
d_main_03_06_19,d_main_03_06,Speech,rapi,rapi,Locale_MainScenario:d_main_03_06_19,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,10,100,1.0,,,,,,,
d_main_03_06_20,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_20,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,17,17,1.0,,,,,,,
d_main_03_06_21,d_main_03_06,Speech,mihara,mihara,Locale_MainScenario:d_main_03_06_21,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,17,170,1.0,,,,,,,
d_main_03_06_22,d_main_03_06,Speech,yuni,yuni,Locale_MainScenario:d_main_03_06_22,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,S_190,1.0,,,,,,,
