id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
d_subquest_1391_1,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_1,False,rapi,1,idle,Desert_01,10,10,1.0,bgm_story_weare,,
d_subquest_1391_2,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_2,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_3,d_subquest_1391,Monologue,Locale_SubScenario:d_subquest_1391_3,False,,1,idle,,10,5,1.0,,,
d_subquest_1391_4,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_4,False,,1,idle,,5,5,1.0,,,
d_subquest_1391_5,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_5,True,,1,think,,5,10,1.0,,rapi,rapi
d_subquest_1391_6,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_6,True,,1,think,,10,10,1.0,,rapi,rapi
d_subquest_1391_7,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_7,False,,1,think,,10,10,1.0,,,
d_subquest_1391_8,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_8,False,,1,think,,10,10,1.0,,,
d_subquest_1391_9,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_9,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_10,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_10,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_11,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_11,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_12,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_12,False,,1,idle,,10,10,1.0,,,
d_subquest_1391_13,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_13,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_14,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_14,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_15,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_15,True,,1,think,,10,10,1.0,,rapi,rapi
d_subquest_1391_16,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_16,True,,1,think,,10,10,1.0,,rapi,rapi
d_subquest_1391_17,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_17,False,,1,think,,10,10,1.0,,,
d_subquest_1391_18,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_18,False,,1,think,,10,10,1.0,,,
d_subquest_1391_19,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_19,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_20,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_20,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_21,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_21,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_22,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_22,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_23,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_23,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_24,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_24,True,,1,idle,,10,10,1.0,,rapi,rapi
d_subquest_1391_25,d_subquest_1391,Self,Locale_SubScenario:d_subquest_1391_25,False,,1,idle,,10,10,1.0,,,
d_subquest_1391_26,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_26,True,,1,think,,10,10,1.0,,rapi,rapi
d_subquest_1391_27,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_27,False,,1,worry,,10,1,1.0,,rapi,rapi
d_subquest_1391_28,d_subquest_1391,Monologue,Locale_SubScenario:d_subquest_1391_28,False,,1,worry,,1,1,1.0,,,
d_subquest_1391_29,d_subquest_1391,Monologue,Locale_SubScenario:d_subquest_1391_29,False,,1,worry,,1,1,1.0,,,
d_subquest_1391_30,d_subquest_1391,Monologue,Locale_SubScenario:d_subquest_1391_30,False,,1,worry,,1,1,1.0,,,
d_subquest_1391_31,d_subquest_1391,Monologue,Locale_SubScenario:d_subquest_1391_31,False,,1,delight,,1,10,1.0,,,
d_subquest_1391_32,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_32,True,,1,delight,,10,10,1.0,,rapi,rapi
d_subquest_1391_33,d_subquest_1391,Speech,Locale_SubScenario:d_subquest_1391_33,True,,1,delight,,10,10,1.0,,rapi,rapi
