id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01,fade,jump_target
d_main_15_03_1,d_main_15_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15_03_1,True,rapi,5,angry,anis,3,idle,neon,1,idle,dolla,13,idle,rupee,15,idle,yan,17,idle,CityForest_01,9,9,1.0,bgm_enemyclose,,,,,,,,,
d_main_15_03_2,d_main_15_03,Speech,rapi,rapi,Locale_MainScenario:d_main_15_03_2,True,,5,angry,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,9,5,1.0,,,,,,,,,,
d_main_15_03_3,d_main_15_03,Speech,anis,anis,Locale_MainScenario:d_main_15_03_3,True,,5,angry,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle,,5,3,2.0,,,,,,,,,,
d_main_15_03_4,d_main_15_03,Speech,anis,anis,Locale_MainScenario:d_main_15_03_4,True,,5,angry,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle,,3,3,1.0,,,,,,,,,,
d_main_15_03_5,d_main_15_03,Self,anis,Self,Locale_MainScenario:d_main_15_03_5,False,,5,angry,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle,,3,3,1.0,,,,,,,,,,
d_main_15_03_6,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_6,True,,5,angry,,3,void,,1,surprise,,13,idle,,15,idle,,17,idle,,3,1,1.0,,,,,,,,,,
d_main_15_03_7,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_7,True,,5,idle,,3,void,,1,surprise,,13,idle,,15,idle,,17,idle,,1,1,1.0,,,,,,,,,,
d_main_15_03_8,d_main_15_03,Speech,neon,neon,Locale_MainScenario:d_main_15_03_8,True,,5,idle,,3,void,,1,worry,,13,idle,,15,idle,,17,idle,,1,S_10,2.0,,,,,,,,,,
d_main_15_03_9,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_9,False,,5,idle,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,S_130,S_130,1.0,,,,,,,,,,
d_main_15_03_10,d_main_15_03,Speech,rupee,rupee,Locale_MainScenario:d_main_15_03_10,False,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise,,17,idle,,150,150,1.0,,,,,,,,,,
d_main_15_03_11,d_main_15_03,Speech,yan,yan,Locale_MainScenario:d_main_15_03_11,False,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise,,17,surprise,,S_170,S_170,1.0,,,,,,,,,,
d_main_15_03_12,d_main_15_03,Speech,yan,yan,Locale_MainScenario:d_main_15_03_12,True,,5,idle,,3,idle,,1,idle,,13,surprise,,15,surprise,,17,delight,,S_170,17,0.5,,,,,,,,,,
d_main_15_03_13,d_main_15_03,Speech,rupee,rupee,Locale_MainScenario:d_main_15_03_13,True,,5,idle,,3,idle,,1,idle,,13,surprise,,15,delight,,17,delight,,17,16,1.0,,,,,,,,,,
d_main_15_03_14,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_14,True,,5,idle,,3,idle,,1,idle,,13,good,,15,delight,,17,delight,,16,14,1.0,,,,,,,,,,
d_main_15_03_15,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_15,False,,5,idle,,3,idle,,1,idle,,13,"expression_0,good",,15,delight,,17,delight,,14,14,1.0,,,,,,,,,,
d_main_15_03_16,d_main_15_03,Speech,dolla,dolla,Locale_MainScenario:d_main_15_03_16,True,,5,idle,,3,idle,,1,idle,,13,good,,15,delight,,17,delight,,14,S_130,1.0,,,,,,,,,,
d_main_15_03_17,d_main_15_03,Self,dolla,Self,Locale_MainScenario:d_main_15_03_17,False,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,17,idle,,S_130,S_130,1.0,,,,,,,,,,
