id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_39_01_1,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_1,True,leviathan,1,no,ziz,13,sad,S_10,S_10,1.0,bgm_chapter39_field_gliding,Vignetting,,,,
d_main_39_01_2,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_2,True,,1,no,,13,sad,S_10,113,1.0,,Vignetting,,,,
d_main_39_01_3,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_3,True,,1,pain,,13,sad,113,113,1.0,,Vignetting,,,,
d_main_39_01_4,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_4,True,,1,pain,,13,sad,113,113,1.0,,Vignetting,,,,
d_main_39_01_5,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_5,True,,1,pain,,13,sad,113,113,1.0,,Vignetting,,,,
d_main_39_01_6,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_6,True,,1,pain,,13,sad,113,113,1.0,,Vignetting,,,,
d_main_39_01_7,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_7,False,,1,pain,,13,sad,S_100,S_100,1.0,,Vignetting,,,,
d_main_39_01_8,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_8,False,,1,pain,,13,sad,S_1300,S_1300,1.0,,Vignetting,,,,
d_main_39_01_9,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_9,True,,1,no,,13,sad,S_100,S_10,1.0,,Vignetting,,,,
d_main_39_01_10,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_10,True,,1,no,,13,sad,S_10,113,1.0,,Vignetting,,,,
d_main_39_01_11,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_11,True,,1,think_02,,13,sad,113,113,1.0,,Vignetting,,,,
d_main_39_01_12,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_12,True,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_13,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_13,True,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_14,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_14,True,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_15,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_15,True,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_16,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_16,True,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_17,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_17,True,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_18,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_18,True,,1,no,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_19,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_19,True,,1,no,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_20,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_20,True,,1,think_02,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_21,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_21,True,,1,think_02,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_22,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_22,True,,1,think_02,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_23,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_23,False,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_24,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_24,False,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_25,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_25,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_26,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_26,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_27,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_27,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_28,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_28,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_29,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_29,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_30,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_30,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_31,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_31,True,,1,think_01,,13,think,113,113,1.0,,Vignetting,,,,
d_main_39_01_32,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_32,True,,1,think_01,,13,no,113,113,1.0,,Vignetting,,,,
d_main_39_01_33,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_33,True,,1,surprise,,13,no,113,113,1.0,,Vignetting,,,,
d_main_39_01_34,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_34,True,,1,surprise,,13,idle,113,S_130,1.0,,Vignetting,,,,
d_main_39_01_35,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_35,True,,1,surprise,,13,idle,S_130,S_130,1.0,,Vignetting,,,,
d_main_39_01_36,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_36,True,,1,surprise,,13,idle,S_130,S_130,1.0,,Vignetting,,,,
d_main_39_01_37,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_37,True,,1,surprise,,13,idle,S_130,S_130,1.0,,Vignetting,,,,
d_main_39_01_38,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_38,False,,1,think_01,,13,idle,S_130,S_10,1.0,,Vignetting,,,,
d_main_39_01_39,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_39,True,,1,no,,13,idle,S_10,S_10,1.0,,Vignetting,,,,
d_main_39_01_40,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_40,True,,1,no,,13,idle,S_10,113,1.0,,Vignetting,,,,
d_main_39_01_41,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_41,True,,1,no,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_42,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_42,False,,1,think_02,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_43,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_43,True,,1,no,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_44,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_44,True,,1,no,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_45,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_45,True,,1,no,,13,idle,113,113,1.0,,Vignetting,,,,
d_main_39_01_46,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_46,True,,1,no,,13,delight,113,113,1.0,,Vignetting,,,,
d_main_39_01_47,d_main_39_01,Speech,leviathan,leviathan,Locale_MainScenario:d_main_39_01_47,True,,1,no,,13,delight,113,113,1.0,,Vignetting,,,,
d_main_39_01_48,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_48,True,,1,no,,13,delight,113,S_130,1.0,,Vignetting,,,,
d_main_39_01_49,d_main_39_01,Speech,ziz,ziz,Locale_MainScenario:d_main_39_01_49,True,,1,no,,13,idle,S_130,S_130,1.0,,Vignetting,,,,
