id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_filter_01
d_main_19_04_1,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_1,True,rapi,6,idle,anis,4,idle,neon,2,idle,papillon,12,think,Armory,1,1,1.0,bgm_peripeteia,,,,,
d_main_19_04_2,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_2,True,,6,idle,,4,idle,,2,idle,,12,think,,1,1,1.0,,,,,,
d_main_19_04_3,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_3,True,,6,idle,,4,idle,,2,idle,,12,think,,1,1,1.0,,,,,,
d_main_19_04_4,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_4,True,,6,idle,,4,idle,,2,idle,,12,think,,1,1,1.0,,,,,,
d_main_19_04_5,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_5,True,,6,idle,,4,idle,,2,surprise,,12,think,,1,S_20,1.0,,,,,,
d_main_19_04_6,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_6,True,,6,idle,,4,idle,,2,surprise,,12,think,,S_20,S_20,1.0,,,,,,
d_main_19_04_7,d_main_19_04,Speech,rapi,rapi,Locale_MainScenario:d_main_19_04_7,True,,6,idle,,4,idle,,2,surprise,,12,think,,60,60,1.0,,,,,,
d_main_19_04_8,d_main_19_04,Speech,rapi,rapi,Locale_MainScenario:d_main_19_04_8,True,,6,think,,4,idle,,2,surprise,,12,think,,60,60,1.0,,,,,,
d_main_19_04_9,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_9,True,,6,think,,4,idle,,2,idle,,12,delight,,12,12,1.0,,,,,,
d_main_19_04_10,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_10,True,,6,idle,,4,idle,,2,idle,,12,delight,,12,12,1.0,,,,,,
d_main_19_04_11,d_main_19_04,Self,papillon,Self,Locale_MainScenario:d_main_19_04_11,False,,6,idle,,4,idle,,2,idle,,12,idle,,12,12,1.0,,,,,,
d_main_19_04_12,d_main_19_04,Monologue,papillon,Monologue,Locale_MainScenario:d_main_19_04_12,False,,6,idle,,4,idle,,2,idle,,12,idle,,12,S_120,1.0,,,,,,
d_main_19_04_13,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_13,True,,6,idle,,4,idle,,2,idle,,12,idle,,S_120,S_120,1.0,,,,,,
d_main_19_04_14,d_main_19_04,Monologue,papillon,Monologue,Locale_MainScenario:d_main_19_04_14,False,,6,idle,,4,idle,,2,idle,,12,idle,,S_120,S_1200,2.0,,,,,,
d_main_19_04_15,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_15,True,,6,idle,,4,idle,,2,idle,,12,idle,,S_1200,S_1200,1.0,,,,,,
d_main_19_04_16,d_main_19_04,Narration,,Narration,Locale_MainScenario:d_main_19_04_16,False,,6,idle,,4,idle,,2,idle,,12,idle,Laboratory,black,black,1.0,,rapi,anis,neon,papillon,
d_main_19_04_17,d_main_19_04,Narration,,Narration,Locale_MainScenario:d_main_19_04_17,False,,6,idle,,4,idle,,2,idle,,12,idle,,13,13,1.0,,,,,,Grey
d_main_19_04_18,d_main_19_04,Narration,,Narration,Locale_MainScenario:d_main_19_04_18,False,,6,idle,,4,idle,,2,idle,,12,idle,,13,140,2.0,,,,,,Grey
d_main_19_04_19,d_main_19_04,Narration,,Narration,Locale_MainScenario:d_main_19_04_19,False,,6,idle,,4,idle,,2,idle,,12,idle,,140,140,1.0,,,,,,Grey
d_main_19_04_20,d_main_19_04,Narration,,Narration,Locale_MainScenario:d_main_19_04_20,False,rapi,6,idle,anis,4,idle,neon,2,idle,papillon,12,idle,Armory,black,black,1.0,,,,,,
d_main_19_04_21,d_main_19_04,Speech,anis,anis,Locale_MainScenario:d_main_19_04_21,True,,6,idle,,4,void,,2,idle,,12,idle,,40,40,1.0,,,,,,
d_main_19_04_22,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_22,True,,6,idle,,4,void,,2,idle,,12,idle,,40,S_20,2.0,,,,,,
d_main_19_04_23,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_23,True,,6,idle,,4,idle,,2,idle,,12,idle,,S_20,S_20,1.0,,,,,,
d_main_19_04_24,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_24,True,,6,idle,,4,idle,,2,idle,,12,idle,,1,1,1.0,,,,,,
d_main_19_04_25,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_25,True,,6,idle,,4,idle,,2,surprise,,12,idle,,1,1,1.0,,,,,,
d_main_19_04_26,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_26,True,,6,idle,,4,idle,,2,surprise,,12,delight,,1,1,1.0,,,,,,
d_main_19_04_27,d_main_19_04,Speech,neon,neon,Locale_MainScenario:d_main_19_04_27,True,,6,idle,,4,idle,,2,no,,12,delight,,1,1,1.0,,,,,,
d_main_19_04_28,d_main_19_04,Speech,papillon,papillon,Locale_MainScenario:d_main_19_04_28,True,,6,idle,,4,idle,,2,no,,12,angry,,1,1,1.0,,,,,,
d_main_19_04_29,d_main_19_04,Monologue,,Monologue,Locale_MainScenario:d_main_19_04_29,False,,6,idle,,4,idle,,2,idle,,12,angry,,1,1,1.0,,,,,,
d_main_19_04_30,d_main_19_04,Narration,,Narration,Locale_MainScenario:d_main_19_04_30,False,,6,idle,,4,idle,,2,idle,,12,idle,,black,black,1.0,,,,,,
d_main_19_04_31,d_main_19_04,Speech,rapi,rapi,Locale_MainScenario:d_main_19_04_31,True,,6,think,,4,idle,,2,idle,,12,idle,,60,60,1.0,,,,,,
d_main_19_04_32,d_main_19_04,Self,rapi,Self,Locale_MainScenario:d_main_19_04_32,False,,6,think,,4,idle,,2,idle,,12,idle,,60,60,1.0,,,,,,
