id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_26_11_1,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_1,True,syuen,1,angry,MissilisOffice,1,S_10,1.0,bgm_story_kneeldownfools
d_main_26_11_2,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_2,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_3,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_3,False,,1,angry,,S_10,S_10,1.0,
d_main_26_11_4,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_4,False,,1,think,,S_10,1,1.0,
d_main_26_11_5,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_5,True,,1,think,,1,1,1.0,
d_main_26_11_6,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_6,True,,1,think,,1,1,1.0,
d_main_26_11_7,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_7,False,,1,think,,1,1,1.0,
d_main_26_11_8,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_8,False,,1,think,,1,1,1.0,
d_main_26_11_9,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_9,True,,1,think,,1,1,1.0,
d_main_26_11_10,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_10,False,,1,think,,1,1,1.0,
d_main_26_11_11,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_11,True,,1,think,,1,1,1.0,
d_main_26_11_12,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_12,False,,1,think,,1,1,1.0,
d_main_26_11_13,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_13,True,,1,angry,,1,S_10,1.0,
d_main_26_11_14,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_14,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_15,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_15,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_16,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_16,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_17,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_17,False,,1,angry,,S_10,S_10,1.0,
d_main_26_11_18,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_18,True,,1,think,,S_10,S_10,1.0,
d_main_26_11_19,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_19,True,,1,surprise,,S_10,S_10,1.0,
d_main_26_11_20,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_20,False,,1,surprise,,S_10,S_10,1.0,
d_main_26_11_21,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_21,True,,1,surprise,,S_10,S_10,1.0,
d_main_26_11_22,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_22,False,,1,surprise,,S_10,S_10,1.0,
d_main_26_11_23,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_23,False,,1,surprise,,S_10,S_10,1.0,
d_main_26_11_24,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_24,True,,1,idle,,S_10,S_10,1.0,
d_main_26_11_25,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_25,True,,1,idle,,S_10,S_10,1.0,
d_main_26_11_26,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_26,False,,1,idle,,S_10,S_10,1.0,
d_main_26_11_27,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_27,False,,1,idle,,S_10,S_10,1.0,
d_main_26_11_28,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_28,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_29,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_29,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_30,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_30,True,,1,angry,,S_10,1,1.0,
d_main_26_11_31,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_31,True,,1,angry,,1,1,1.0,
d_main_26_11_32,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_32,True,,1,angry,,1,1,1.0,
d_main_26_11_33,d_main_26_11,Monologue,,,Locale_MainScenario:d_main_26_11_33,False,,1,angry,,1,1,1.0,none
d_main_26_11_34,d_main_26_11,Monologue,,,Locale_MainScenario:d_main_26_11_34,False,,1,angry,,1,1,1.0,
d_main_26_11_35,d_main_26_11,Monologue,,,Locale_MainScenario:d_main_26_11_35,False,,1,angry,,1,1,1.0,
d_main_26_11_36,d_main_26_11,Monologue,,,Locale_MainScenario:d_main_26_11_36,False,,1,angry,,1,1,1.0,
d_main_26_11_37,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_37,True,,1,angry,,1,S_10,1.0,
d_main_26_11_38,d_main_26_11,Speech,syuen,syuen,Locale_MainScenario:d_main_26_11_38,True,,1,angry,,S_10,S_10,1.0,
d_main_26_11_39,d_main_26_11,Self,,,Locale_MainScenario:d_main_26_11_39,False,,1,angry,,S_10,S_10,1.0,
