id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id
d_main_18_11_1,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_1,True,drake,3,idle,laplace,1,sad,maxwell,13,idle,WasteLand_02,130,130,1.0,none,,
d_main_18_11_2,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_2,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_3,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_3,True,,3,idle,,1,sad,,13,idle,,30,30,1.0,,,
d_main_18_11_4,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_4,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_5,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_5,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,bgm_story_hero_arrange,,
d_main_18_11_6,d_main_18_11,Monologue,maxwell,,Locale_MainScenario:d_main_18_11_6,False,,3,idle,,1,sad,,13,idle,,130,12,1.0,,,
d_main_18_11_7,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_7,True,,3,idle,,1,sad,,13,idle,,12,12,1.0,,,
d_main_18_11_8,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_8,True,,3,idle,,1,sad,,13,idle,,12,12,1.0,,,
d_main_18_11_9,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_9,True,,3,idle,,1,sad,,13,idle,,12,12,1.0,,,
d_main_18_11_10,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_10,True,,3,idle,,1,sad,,13,idle,,12,12,1.0,,,
d_main_18_11_11,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_11,True,,3,idle,,1,sad,,13,idle,,12,S_10,1.0,,,
d_main_18_11_12,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_12,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_13,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_13,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_14,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_14,True,,3,idle,,1,no,,13,idle,,S_10,S_10,1.0,,,
d_main_18_11_15,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_15,True,,3,idle,,1,no,,13,angry,,S_10,12,1.0,,,
d_main_18_11_16,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_16,True,,3,idle,,1,no,,13,angry,,12,12,1.0,,,
d_main_18_11_17,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_17,False,,3,idle,,1,sad,,13,angry,,12,12,1.0,,,
d_main_18_11_18,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_18,True,,3,idle,,1,sad,,13,idle,,12,130,1.0,,,
d_main_18_11_19,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_19,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_20,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_20,True,,3,idle,,1,sad,,13,idle,,130,1300,1.0,,,
d_main_18_11_21,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_21,True,,3,idle,,1,sad,,13,idle,,1300,1300,1.0,,,
d_main_18_11_22,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_22,True,,3,idle,,1,sad,,13,idle,,1300,1300,1.0,,,
d_main_18_11_23,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_23,True,,3,idle,,1,sad,,13,idle,,S_10,S_10,1.0,,,
d_main_18_11_24,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_24,True,,3,idle,,1,shy,,13,angry,,S_10,12,1.0,,,
d_main_18_11_25,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_25,True,,3,idle,,1,shy,,13,angry,,12,12,1.0,,,
d_main_18_11_26,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_26,True,,3,angry,,1,sad,,13,angry,,12,2,1.0,,,
d_main_18_11_27,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_27,True,,3,angry,,1,sad,,13,angry,,130,130,1.0,,,
d_main_18_11_28,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_28,True,,3,no,,1,sad,,13,angry,,30,30,1.0,,,
d_main_18_11_29,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_29,False,,3,no,,1,sad,,13,idle,,S_10,S_10,1.0,,,
d_main_18_11_30,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_30,True,,3,idle,,1,sad,,13,idle,,S_10,130,1.0,,,
d_main_18_11_31,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_31,True,,3,idle,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_32,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_32,True,,3,idle,,1,sad,,13,angry,,130,130,1.0,,,
d_main_18_11_33,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_33,True,,3,angry,,1,sad,,13,idle,,30,300,1.0,,,
d_main_18_11_34,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_34,True,,3,idle,,1,sad,,13,idle,,300,300,1.0,,,
d_main_18_11_35,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_35,True,,3,idle,,1,sad,,13,idle,,300,300,1.0,,,
d_main_18_11_36,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_36,True,,3,angry,,1,sad,,13,idle,,300,300,1.0,,,
d_main_18_11_37,d_main_18_11,Monologue,drake,,Locale_MainScenario:d_main_18_11_37,False,,5,angry,,1,sad,,13,idle,,300,12,2.0,,drake,
d_main_18_11_38,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_38,True,,,,,1,sad,,13,delight,,12,12,1.0,,,
d_main_18_11_39,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_39,True,,,,,1,sad,,13,idle,,12,12,1.0,,,
d_main_18_11_40,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_40,True,,,,,1,sad,,13,idle,,12,130,1.0,,,
d_main_18_11_41,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_41,True,,,,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_42,d_main_18_11,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_11_42,True,,,,,1,sad,,13,idle,,130,130,1.0,,,
d_main_18_11_43,d_main_18_11,Monologue,maxwell,,Locale_MainScenario:d_main_18_11_43,False,,,,,1,sad,,15,idle,,130,1,2.0,,,maxwell
d_main_18_11_44,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_44,False,,,,,1,sad,,,,,1,S_10,1.0,,,
d_main_18_11_45,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_45,True,,,,,1,sad,,,,,S_10,S_10,1.0,,,
d_main_18_11_46,d_main_18_11,Monologue,laplace,,Locale_MainScenario:d_main_18_11_46,False,,,,,1,sad,,,,,S_10,S_10,1.0,,,
d_main_18_11_47,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_47,True,,,,,1,sad,,,,,S_10,S_100,1.0,,,
d_main_18_11_48,d_main_18_11,Self,laplace,,Locale_MainScenario:d_main_18_11_48,False,,,,,1,sad,,,,,black,black,1.0,,,
d_main_18_11_49,d_main_18_11,Monologue,laplace,,Locale_MainScenario:d_main_18_11_49,False,,,,,1,sad,,,,,S_100,S_10,0.5,,,
d_main_18_11_50,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_50,False,,,,,1,shy,,,,,S_10,S_10,1.0,,,
d_main_18_11_51,d_main_18_11,Self,laplace,,Locale_MainScenario:d_main_18_11_51,False,,,,,1,shy,,,,,S_10,S_10,1.0,,,
d_main_18_11_52,d_main_18_11,Speech,laplace,laplace,Locale_MainScenario:d_main_18_11_52,True,,,,,1,sad,,,,,S_10,S_10,1.0,,,
d_main_18_11_53,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_53,True,drake,5,idle,,1,sad,,,,,black,black,1.0,,,
d_main_18_11_54,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_54,False,,5,"expression_0,idle_alt",,1,sad,,,,,50,50,1.0,,,
d_main_18_11_55,d_main_18_11,Speech,drake,drake,Locale_MainScenario:d_main_18_11_55,False,,5,idle_alt,,1,sad,,,,,50,500,0.5,,,
