id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,jump_target
d_ex_gym_03_1,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_1,True,noah,1,idle,Gym,XS_10,XS_10,1.0,bgm_story_languor,,,,,,
d_ex_gym_03_2,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_2,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,
d_ex_gym_03_3,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_3,True,,1,idle,,XS_10,XS_100,0.5,,,,,,,
d_ex_gym_03_4,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_4,False,,1,idle,,XS_100,XS_100,1.0,,,,,,,
d_ex_gym_03_5,d_ex_gym_03,Monologue,,,Locale_SuddenStory:d_ex_gym_03_5,False,,1,idle,,XS_100,XS_100,1.0,,,,,,,
d_ex_gym_03_6,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_6,True,,1,idle,,XS_100,XS_100,1.0,,,,,,,
d_ex_gym_03_7,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_7,False,,1,idle,,XS_100,XS_100,1.0,,,,,,,
d_ex_gym_03_8,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_8,True,,1,idle,,XS_100,XS_10,1.0,,,,,,,
d_ex_gym_03_9,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_9,True,,1,idle,,XS_10,XS_10,1.0,,,,,,,
d_ex_gym_03_10,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_10,False,,1,idle,,XS_10,XS_10,1.0,none,,,,,,
d_ex_gym_03_11,d_ex_gym_03,Narration,,,Locale_SuddenStory:d_ex_gym_03_11,False,,5,idle,,black,black,1.0,,noah,n102,,,,
d_ex_gym_03_12,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_12,True,,5,idle,,13,13,1.0,,,n102,13,delight,,
d_ex_gym_03_13,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_13,True,,5,idle,,13,XS_130,0.5,,,,13,delight,,
d_ex_gym_03_14,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_14,False,,5,idle,,XS_130,XS_130,1.0,,,,13,delight,,
d_ex_gym_03_15,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_15,True,noah,1,good,,XS_130,113,1.0,bgm_story_languor,,,13,delight,,
d_ex_gym_03_16,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_16,True,,1,good,,113,113,1.0,,,,13,delight,,
d_ex_gym_03_17,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_17,True,,1,good,,113,113,1.0,,,,13,delight,,
d_ex_gym_03_18,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_18,True,,1,surprise,,113,XS_10,1.0,,,,13,delight,,
d_ex_gym_03_19,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_19,True,,1,good,,XS_10,XS_10,1.0,,,,13,delight,,
d_ex_gym_03_20,d_ex_gym_03,Self,,,Locale_SuddenStory:d_ex_gym_03_20,False,,1,good,,XS_10,XS_10,1.0,,,,13,delight,,
d_ex_gym_03_21,d_ex_gym_03,Speech,n102,n102,Locale_SuddenStory:d_ex_gym_03_21,True,,1,good,,XS_10,113,1.0,,,,13,delight,,
d_ex_gym_03_22,d_ex_gym_03,Speech,noah,noah,Locale_SuddenStory:d_ex_gym_03_22,True,,1,good,,113,113,1.0,,,,13,delight,,
