id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,set_camera_shake
d_main_22_04_e_1,d_main_22_04_e,Narration,Locale_MainScenario:d_main_22_04_e_1,False,blanc,1,think,noir,3,surprise,rosanna,13,good,CoinRushIndoor,black,black,1.0,bgm_story_conflict,,,,,,,
d_main_22_04_e_2,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_2,True,,1,think,,3,surprise,,13,good,,13,130,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_3,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_3,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_4,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_4,False,,1,think,,3,surprise,,13,idle,,31,31,1.0,,blanc,blanc_noir,,,,,
d_main_22_04_e_6,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_6,True,,1,think,,3,surprise,,13,idle,,31,13,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_7,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_7,True,,1,think,,3,surprise,,13,idle,,13,130,2.0,,rosanna,rosanna,,,,,
d_main_22_04_e_8,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_8,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_9,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_9,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_10,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_10,False,,1,think,,3,surprise,,13,idle,,130,113,1.0,,blanc,blanc,,,,,
d_main_22_04_e_11,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_11,True,,1,think,,3,surprise,,13,idle,,113,113,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_12,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_12,True,,1,think,,3,surprise,,13,idle,,113,113,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_13,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_13,True,,1,think,,3,surprise,,13,idle,,113,130,0.5,,rosanna,rosanna,,,,,
d_main_22_04_e_14,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_14,True,,1,think,,3,surprise,,13,idle,,130,130,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_15,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_15,True,,1,think,,3,surprise,,13,good,,130,1300,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_16,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_16,True,,1,think,,3,surprise,,13,good,,1300,1300,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_17,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_17,True,,1,think,,3,surprise,,13,good,,1300,31,2.0,,blanc,blanc,,,,,
d_main_22_04_e_18,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_18,True,,1,think,,3,surprise,,13,idle,,31,31,2.0,,noir,noir,,,,,
d_main_22_04_e_19,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_19,True,,1,think,,3,surprise,,13,angry,,31,13,1.0,,rosanna,rosanna,,,,,
d_main_22_04_e_20,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_20,False,,1,think,,3,surprise,,13,angry,,13,1315,1.0,,sakura,sakura,sakura,15,idle,,
d_main_22_04_e_21,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_21,True,,1,think,,3,surprise,,13,idle,,1315,1315,1.0,,rosanna,rosanna,,15,idle,,
d_main_22_04_e_22,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_22,True,,1,think,,3,surprise,,13,idle,,1315,1315,1.0,,rosanna,rosanna,,15,idle,,
d_main_22_04_e_23,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_23,True,,1,think,,3,surprise,,13,idle,,1315,1315,1.0,,rosanna,rosanna,,15,idle,,
d_main_22_04_e_24,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_24,True,,1,think,,3,surprise,,13,idle,,1315,1315,1.0,,sakura,sakura,,15,idle,,
d_main_22_04_e_25,d_main_22_04_e,Speech,Locale_MainScenario:d_main_22_04_e_25,True,,1,think,,3,surprise,,13,idle,,1315,1315,1.0,,sakura,sakura,,15,idle,,
