id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_subquest_1222_e_1,d_subquest_1222_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1222_e_1,True,rapi,3,idle,anis,1,void,neon,13,worry,Desert_03,S_130,S_130,1.0,bgm_story_weare,,,
d_subquest_1222_e_2,d_subquest_1222_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1222_e_2,True,,3,idle,,1,void,,13,worry,,S_130,S_130,1.0,,,,
d_subquest_1222_e_3,d_subquest_1222_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1222_e_3,True,,3,idle,,1,void,,13,worry,,S_130,S_130,1.0,,,,
d_subquest_1222_e_4,d_subquest_1222_e,Self,,,Locale_SubScenario:d_subquest_1222_e_4,False,,3,idle,,1,void,,13,worry,,S_130,S_130,1.0,,,,
d_subquest_1222_e_5,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_5,False,,3,idle,,1,void,,13,worry,,black,black,1.0,,,,
d_subquest_1222_e_6,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_6,False,,3,idle,,1,void,,13,worry,,black,black,1.0,,,,
d_subquest_1222_e_7,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_7,False,,3,idle,,1,void,,13,worry,,black,black,1.0,,,,
d_subquest_1222_e_8,d_subquest_1222_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1222_e_8,True,,3,idle,,1,worry,,13,worry,,12,12,1.0,,,,
d_subquest_1222_e_9,d_subquest_1222_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1222_e_9,True,,3,idle,,1,worry,,13,worry,,12,12,1.0,,,,
d_subquest_1222_e_10,d_subquest_1222_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1222_e_10,True,,3,idle,,1,worry,,13,worry,,12,3,1.0,,,,
d_subquest_1222_e_11,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_11,False,,3,idle,,1,worry,,13,worry,Sky_s,3,7,1.0,,rapi,anis,neon
d_subquest_1222_e_12,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_12,False,,,,,,,,,,,7,7,1.0,,,,
d_subquest_1222_e_13,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_13,False,,,,,,,,,,,7,7,1.0,,,,
d_subquest_1222_e_14,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_14,False,,,,,,,,,,,7,7,1.0,,,,
d_subquest_1222_e_15,d_subquest_1222_e,Monologue,,,Locale_SubScenario:d_subquest_1222_e_15,False,,,,,,,,,,,7,7,1.0,,,,
d_subquest_1222_e_16,d_subquest_1222_e,Self,,,Locale_SubScenario:d_subquest_1222_e_16,False,rapi,3,idle,anis,1,void,neon,13,idle,Desert_03,7,2,1.0,,,,
d_subquest_1222_e_17,d_subquest_1222_e,Self,,,Locale_SubScenario:d_subquest_1222_e_17,False,,3,idle,,1,void,,13,idle,,2,2,1.0,,,,
d_subquest_1222_e_18,d_subquest_1222_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1222_e_18,True,,3,idle,,1,void,,13,idle,,2,2,1.0,,,,
d_subquest_1222_e_19,d_subquest_1222_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1222_e_19,True,,3,idle,,1,void,,13,idle,,2,2,1.0,,,,
d_subquest_1222_e_20,d_subquest_1222_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1222_e_20,True,,3,idle,,1,void,,13,idle,,2,12,1.0,,,,
d_subquest_1222_e_21,d_subquest_1222_e,Self,,,Locale_SubScenario:d_subquest_1222_e_21,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,,,
d_subquest_1222_e_22,d_subquest_1222_e,Self,,,Locale_SubScenario:d_subquest_1222_e_22,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,,,
d_subquest_1222_e_23,d_subquest_1222_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1222_e_23,True,,3,idle,,1,void,,13,idle,,30,30,1.0,,,,
