id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1062_1,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_1,True,Desert_01,130,130,1.0,bgm_story_orangepop,,anis,1,idle,neon,3,idle,rapi,13,idle
d_subquest_1062_2,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_2,True,,130,10,0.5,,,,1,worry,,3,idle,,13,idle
d_subquest_1062_3,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_3,True,,10,10,1.0,,,,1,worry,,3,idle,,13,idle
d_subquest_1062_4,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_4,True,,10,S_30,0.5,,,,1,worry,,3,delight,,13,idle
d_subquest_1062_5,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_5,True,,S_30,S_30,1.0,,,,1,worry,,3,delight,,13,idle
d_subquest_1062_6,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_6,True,,S_30,S_30,1.0,,,,1,idle,,3,delight,,13,idle
d_subquest_1062_7,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_7,True,,S_30,10,1.0,,,,1,delight,,3,idle,,13,idle
d_subquest_1062_8,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_8,True,,10,10,1.0,,,,1,delight,,3,idle,,13,idle
d_subquest_1062_9,d_subquest_1062,Self,anis,Self,Locale_SubScenario:d_subquest_1062_9,True,,10,10,1.0,,,,1,delight,,3,idle,,13,idle
d_subquest_1062_10,d_subquest_1062,Narration,anis,Narration,Locale_SubScenario:d_subquest_1062_10,True,,black,black,1.0,,sfx_scn_paperopen,,1,idle,,3,idle,,13,idle
d_subquest_1062_11,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_11,True,,10,10,1.0,,,,1,idle,,3,idle,,13,idle
d_subquest_1062_12,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_12,True,,10,12,1.0,,,,1,idle,,3,idle,,13,idle
d_subquest_1062_13,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_13,True,,12,2,1.0,,,,1,idle,,3,idle,,13,idle
d_subquest_1062_14,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_14,True,,2,2,1.0,,,,1,idle,,3,idle,,13,idle
d_subquest_1062_15,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_15,True,,2,2,1.0,,,,1,worry,,3,idle,,13,idle
d_subquest_1062_16,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_16,True,,2,2,1.0,,,,1,worry,,3,idle,,13,idle
d_subquest_1062_17,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_17,True,,2,12,1.0,,,,1,worry,,3,idle,,13,idle
d_subquest_1062_18,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_18,True,,12,10,2.0,none,,,1,void,,3,idle,,13,idle
d_subquest_1062_19,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_19,True,,10,10,1.0,,,,1,void,,3,idle,,13,idle
d_subquest_1062_20,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_20,True,,10,10,1.0,,,,1,void,,3,idle,,13,idle
d_subquest_1062_21,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_21,True,,10,S_30,1.0,bgm_story_fairytalesend_if,,,1,void,,3,idle,,13,idle
