id,group_id,speech_window,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1105_s_1,d_subquest_1105_s,Monologue,Locale_SubScenario:d_subquest_1105_s_1,False,raptilion,5,idle,raptilion_me,9,idle,IceLand_03,raptilion_9,raptilion_9,1.0,sfx_scn_machinefan,bgm_story_herecomestrouble,,,,,,,,,,,,
d_subquest_1105_s_2,d_subquest_1105_s,Monologue,Locale_SubScenario:d_subquest_1105_s_2,False,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,,,,,,,,,,,
d_subquest_1105_s_3,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_3,False,,5,idle,,9,idle,,raptilion_9,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_4,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_4,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_5,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_5,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_6,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_6,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_7,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_7,False,,5,idle,,9,idle,,raptilion_5,12,1.0,sfx_scn_tyrantnormal,,sinister,Low_2,,,,,,,,,,
d_subquest_1105_s_8,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_8,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_9,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_9,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_10,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_10,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_11,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_11,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_12,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_12,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_13,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_13,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
d_subquest_1105_s_14,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_14,False,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,
