id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_26af_02_1,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_1,True,andersen,1,idle,Office,1,1,1.0,bgm_story_fairytalesend_a
d_main_26af_02_2,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_2,True,,1,idle,,1,1,1.0,
d_main_26af_02_3,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_3,True,,1,idle,,1,L_10,1.0,
d_main_26af_02_4,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_4,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_5,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_5,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_6,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_6,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_7,d_main_26af_02,Self,,,Locale_MainScenario:d_main_26af_02_7,False,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_8,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_8,True,,1,idle,,L_10,L_100,1.0,
d_main_26af_02_9,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_9,True,,1,idle,,L_100,L_100,1.0,
d_main_26af_02_10,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_10,True,,1,idle,,L_100,L_100,1.0,
d_main_26af_02_11,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_11,True,,1,idle,,L_100,L_100,1.0,
d_main_26af_02_12,d_main_26af_02,Self,,,Locale_MainScenario:d_main_26af_02_12,False,,1,idle,,L_100,L_100,1.0,
d_main_26af_02_13,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_13,False,,1,think,,L_100,L_100,1.0,
d_main_26af_02_14,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_14,True,,1,idle,,L_100,L_10,1.0,
d_main_26af_02_15,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_15,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_16,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_16,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_17,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_17,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_18,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_18,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_19,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_19,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_20,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_20,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_21,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_21,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_22,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_22,True,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_23,d_main_26af_02,Self,,,Locale_MainScenario:d_main_26af_02_23,False,,1,idle,,L_10,L_10,1.0,
d_main_26af_02_24,d_main_26af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_26af_02_24,True,,1,idle,,L_10,L_100,1.0,
