id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,play_sound
d_subquest_1092_s_1,d_subquest_1092_s,Speech,unknown,Locale_SubScenario:d_subquest_1092_s_1,True,rapi,1,idle,anis,13,void,neon,15,idle,IceLand_01,12,12,1.0,bgm_distress,,,
d_subquest_1092_s_2,d_subquest_1092_s,Self,,Locale_SubScenario:d_subquest_1092_s_2,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_3,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_3,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_4,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_4,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_5,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_5,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_6,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_6,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_7,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_7,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_8,d_subquest_1092_s,Self,,Locale_SubScenario:d_subquest_1092_s_8,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_9,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_9,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_10,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_10,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_11,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_11,False,,1,idle,,13,void,,15,idle,,12,12,1.0,,,,
d_subquest_1092_s_12,d_subquest_1092_s,Speech,anis,Locale_SubScenario:d_subquest_1092_s_12,True,,1,idle,,13,angry,,15,idle,,12,130,1.0,,anis,,
d_subquest_1092_s_13,d_subquest_1092_s,Speech,neon,Locale_SubScenario:d_subquest_1092_s_13,True,,1,idle,,13,void,,15,angry,,S_150,S_150,1.0,,neon,,
d_subquest_1092_s_14,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_14,False,,1,idle,,13,void,,15,angry,,S_150,S_150,1.0,,neon,,
d_subquest_1092_s_15,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_15,False,,1,idle,,13,void,,15,idle,,S_150,S_150,1.0,,neon,,
d_subquest_1092_s_16,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_16,False,,1,idle,,13,void,,15,idle,,S_150,S_150,1.0,,neon,,
d_subquest_1092_s_17,d_subquest_1092_s,Choice,,Locale_SubScenario:d_subquest_1092_s_17,False,,1,idle,,13,void,,15,idle,,S_150,S_150,1.0,,neon,d_subquest_1092_s_19,
d_subquest_1092_s_18,d_subquest_1092_s,Choice,,Locale_SubScenario:d_subquest_1092_s_18,False,,1,idle,,13,void,,15,idle,,S_150,S_150,1.0,,neon,d_subquest_1092_s_19,
d_subquest_1092_s_19,d_subquest_1092_s,Speech,rapi,Locale_SubScenario:d_subquest_1092_s_19,True,,1,idle,,13,void,,15,idle,,10,10,1.0,,rapi,,
d_subquest_1092_s_20,d_subquest_1092_s,Speech,rapi,Locale_SubScenario:d_subquest_1092_s_20,True,,1,idle,,13,void,,15,idle,,10,10,1.0,,rapi,,
d_subquest_1092_s_21,d_subquest_1092_s,Speech,anis,Locale_SubScenario:d_subquest_1092_s_21,True,,1,idle,,13,angry,,15,idle,,130,1300,0.5,,anis,,
d_subquest_1092_s_22,d_subquest_1092_s,Speech,anis,Locale_SubScenario:d_subquest_1092_s_22,True,,1,idle,,13,angry,,15,idle,,1300,1300,1.0,,anis,,
d_subquest_1092_s_23,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_23,False,,1,idle,,13,void,,15,idle,,1300,1300,1.0,,anis,,
d_subquest_1092_s_24,d_subquest_1092_s,Narration,,Locale_SubScenario:d_subquest_1092_s_24,False,,1,idle,,13,void,,15,idle,,1300,1300,1.0,,anis,,sfx_scn_rapturebeam
d_subquest_1092_s_25,d_subquest_1092_s,Speech,cervan,Locale_SubScenario:d_subquest_1092_s_25,False,,1,idle,,13,void,,15,idle,,1300,130,0.5,,anis,,
d_subquest_1092_s_26,d_subquest_1092_s,Speech,anis,Locale_SubScenario:d_subquest_1092_s_26,True,,1,idle,,13,void,,15,idle,,130,130,1.0,,anis,,
