id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_ex_armory_09_1,d_ex_armory_09,,Narration,rapi_red,,Locale_SuddenStory:d_ex_armory_09_1,False,Armory,,,,,,15,150,0,,sfx_scn_autodooropen,,100,none,,None,None,,None,False,rapi_red,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_2,d_ex_armory_09,,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_2,True,,,,,,,150,14,0,,,,100,bgm_story_orangepop,,None,None,,None,False,,,15,idle,eunhwa_t,,13,idle,vesti_t,,1,idle,emma_t,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_3,d_ex_armory_09,,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_3,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,15,idle,,,13,idle,,,1,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_4,d_ex_armory_09,,Speech,emma_t,emma_t,Locale_SuddenStory:d_ex_armory_09_4,True,,,,,,,14,2,0,,,,100,,,None,None,,None,False,,,15,idle,,,13,idle,,,1,idle,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_5,d_ex_armory_09,,Speech,vesti_t,vesti_t,Locale_SuddenStory:d_ex_armory_09_5,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,15,idle,,,13,idle,,,1,idle,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_6,d_ex_armory_09,,Speech,rapi_red,rapi_red,Locale_SuddenStory:d_ex_armory_09_6,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,15,delight,,,13,idle,,,1,idle,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_7,d_ex_armory_09,,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_7,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,15,delight,,,13,angry,,,1,idle,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_8,d_ex_armory_09,,Self,eunhwa_t,,Locale_SuddenStory:d_ex_armory_09_8,False,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,15,delight,,,13,angry,,,1,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_9,d_ex_armory_09,,Speech,rapi_red,rapi_red,Locale_SuddenStory:d_ex_armory_09_9,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,15,idle,,,13,angry,,,1,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_armory_09_10,d_ex_armory_09,,Speech,eunhwa_t,eunhwa_t,Locale_SuddenStory:d_ex_armory_09_10,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,15,idle,,,13,idle,,,1,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
