id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
d_main_26_6_1,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_1,True,chime,1,idle,crown,13,idle,redhood,3,think,anis,15,void,neon,17,surprise,Desert_02,2,2,1.0,bgm_highnoon,,,,,,,,
d_main_26_6_2,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_2,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_3,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_3,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_4,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_4,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_5,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_5,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_6,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_6,True,,1,idle,,13,idle,,3,worry,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_7,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_7,True,,1,idle,,13,idle,,3,worry,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_8,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_8,True,,1,idle,,13,idle,,3,no,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_9,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_9,True,,1,idle,,13,idle,,3,no,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_10,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_10,True,,1,idle,,13,idle,,3,no,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_11,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_11,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,2,2,1.0,,,,,,,,,
d_main_26_6_12,d_main_26_06,Speech,crown,crown,Locale_MainScenario:d_main_26_6_12,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,130,130,1.0,,,,,,,,,
d_main_26_6_13,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_13,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,30,30,1.0,,,,,,,,,
d_main_26_6_14,d_main_26_06,Speech,crown,crown,Locale_MainScenario:d_main_26_6_14,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,130,130,1.0,,,,,,,,,
d_main_26_6_15,d_main_26_06,Speech,crown,crown,Locale_MainScenario:d_main_26_6_15,True,,1,idle,,13,idle,,3,think,,15,void,,17,surprise,,130,130,1.0,,,,,,,,,
d_main_26_6_16,d_main_26_06,Speech,crown,crown,Locale_MainScenario:d_main_26_6_16,True,,1,idle,,13,delight,,3,think,,15,void,,17,surprise,,130,130,1.0,,,,,,,,,
d_main_26_6_17,d_main_26_06,Speech,redhood,redhood,Locale_MainScenario:d_main_26_6_17,True,,1,idle,,13,delight,,3,idle,,15,void,,17,surprise,,30,3,1.0,,,,,,,,,
d_main_26_6_18,d_main_26_06,Speech,crown,crown,Locale_MainScenario:d_main_26_6_18,True,,1,idle,,13,idle,,3,idle,,15,void,,17,surprise,,3,12,1.0,,,,,,,,,
d_main_26_6_19,d_main_26_06,Speech,chime,chime,Locale_MainScenario:d_main_26_6_19,True,,1,shy,,13,idle,,3,idle,,15,void,,17,surprise,,12,12,1.0,,,,,,,,,
d_main_26_6_20,d_main_26_06,Narration,,,Locale_MainScenario:d_main_26_6_20,False,,1,shy,,13,idle,,3,idle,,15,void,,17,surprise,,12,12,1.0,,,,,,,,,
d_main_26_6_21,d_main_26_06,Monologue,,,Locale_MainScenario:d_main_26_6_21,False,,1,shy,,13,idle,,3,idle,,15,void,,17,surprise,,12,12,1.0,,,,,,,,,
d_main_26_6_22,d_main_26_06,Monologue,,,Locale_MainScenario:d_main_26_6_22,False,,1,shy,,13,idle,,3,idle,,15,void,,17,surprise,,12,12,1.0,,,,,,,,,
d_main_26_6_23,d_main_26_06,Narration,,,Locale_MainScenario:d_main_26_6_23,False,,1,idle,,13,idle,,3,idle,,15,void,,17,surprise,,12,7,1.0,,sfx_scn_mechanichorse,Low_2,,,,,,
d_main_26_6_24,d_main_26_06,Speech,anis,anis,Locale_MainScenario:d_main_26_6_24,True,,1,idle,,13,idle,,3,idle,,15,void,,17,surprise,,7,7,1.0,,,,,,,,,
d_main_26_6_25,d_main_26_06,Speech,neon,neon,Locale_MainScenario:d_main_26_6_25,True,,1,idle,,13,idle,,3,idle,,15,void,,17,surprise,,7,7,1.0,,,,,,,,,
d_main_26_6_26,d_main_26_06,Monologue,,,Locale_MainScenario:d_main_26_6_26,False,chap_26_02,1,idle,,13,idle,,3,idle,,15,void,,17,surprise,none,black,black,1.0,,,,chime,crown,redhood,anis,neon,
d_main_26_6_27,d_main_26_06,Monologue,,,Locale_MainScenario:d_main_26_6_27,False,,1,idle,,,,,,,,,,,,,,Chap_26_02_01,Chap_26_02_01,1.0,,,,,,,,,
