id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_subquest_1121_1,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_1,True,neon,4,idle,anis,1,worry,rapi,13,idle,CityForest_04,1,10,2.0,bgm_story_orangepop
d_subquest_1121_2,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_2,True,,4,idle,,1,worry,,13,idle,,10,10,1.0,
d_subquest_1121_3,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_3,True,,4,idle,,1,worry,,13,idle,,10,10,1.0,
d_subquest_1121_4,d_subquest_1121,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1121_4,True,,4,idle,,1,worry,,13,think,,10,12,2.0,
d_subquest_1121_5,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_5,True,,4,idle,,1,no,,13,think,,12,12,1.0,
d_subquest_1121_6,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_6,True,,4,idle,,1,no,,13,think,,12,12,1.0,
d_subquest_1121_7,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_7,True,,4,idle,,1,no,,13,think,,12,12,1.0,
d_subquest_1121_8,d_subquest_1121,Speech,neon,neon,Locale_SubScenario:d_subquest_1121_8,True,,4,surprise,,1,no,,13,think,,12,4,0.5,
d_subquest_1121_9,d_subquest_1121,Speech,neon,neon,Locale_SubScenario:d_subquest_1121_9,True,,4,surprise,,1,idle,,13,think,,4,4,1.0,
d_subquest_1121_10,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_10,False,,4,surprise,,1,idle,,13,think,,1,1,1.0,
d_subquest_1121_11,d_subquest_1121,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1121_11,True,,4,idle,,1,idle,,13,delight,,1,12,1.0,
d_subquest_1121_12,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_12,True,,4,idle,,1,worry,,13,delight,,12,12,1.0,
d_subquest_1121_13,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_13,True,,4,idle,,1,void,,13,delight,,12,12,1.0,
d_subquest_1121_14,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_14,True,,4,idle,,1,shy,,13,idle,,12,10,1.0,
d_subquest_1121_15,d_subquest_1121,Self,anis,Self,Locale_SubScenario:d_subquest_1121_15,False,,4,idle,,1,shy,,13,idle,,10,10,1.0,
d_subquest_1121_16,d_subquest_1121,Speech,neon,neon,Locale_SubScenario:d_subquest_1121_16,True,,4,delight,,1,idle,,13,idle,,S_40,S_40,1.0,
d_subquest_1121_17,d_subquest_1121,Speech,neon,neon,Locale_SubScenario:d_subquest_1121_17,True,,4,idle,,1,idle,,13,idle,,S_40,S_40,1.0,
d_subquest_1121_18,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_18,True,,4,idle,,2,idle,,13,idle,,S_40,3,1.0,
d_subquest_1121_19,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_19,True,,4,idle,,2,idle,,13,idle,,3,3,1.0,
d_subquest_1121_20,d_subquest_1121,Speech,neon,neon,Locale_SubScenario:d_subquest_1121_20,True,,4,delight,,2,idle,,13,idle,,3,3,1.0,
d_subquest_1121_21,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_21,True,,4,delight,,2,delight,,13,idle,,3,20,2.0,
d_subquest_1121_22,d_subquest_1121,Speech,anis,anis,Locale_SubScenario:d_subquest_1121_22,True,,4,delight,,2,delight,,13,idle,,20,20,1.0,
