id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,set_camera_shake,effects/0/stop_effect_id
d_subquest_1162_1,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_1,True,neon,6,idle,anis,4,angry,rapi,1,idle,WasteLand_02_n,5,5,0.7,bgm_story_leisuretime,,,,,,,
d_subquest_1162_2,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_2,True,,6,idle,,4,angry,,1,idle,,5,5,1.0,,,,,,,,
d_subquest_1162_3,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_3,True,,6,idle,,4,worry,,1,idle,,5,5,1.0,,,,,,,,
d_subquest_1162_4,d_subquest_1162,Speech,neon,neon,Locale_SubScenario:d_subquest_1162_4,True,,6,surprise,,4,worry,,1,idle,,5,5,1.0,,,,,,,,
d_subquest_1162_5,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_5,True,,6,surprise,,4,angry,,1,idle,,5,40,0.3,,,,,,,,
d_subquest_1162_6,d_subquest_1162,Speech,neon,neon,Locale_SubScenario:d_subquest_1162_6,True,,6,shy,,4,angry,,1,idle,,40,S_60,0.3,,,,,,,,
d_subquest_1162_7,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_7,False,,6,shy,,4,angry,,1,idle,,S_60,5,2.0,,,,,,,,
d_subquest_1162_8,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_8,True,,6,idle,,4,worry,,1,idle,,5,5,1.0,,,,,,,,
d_subquest_1162_9,d_subquest_1162,Choice,,,Locale_SubScenario:d_subquest_1162_9,False,,6,idle,,4,worry,,1,idle,,5,5,1.0,,d_subquest_1162_11,,,,,,
d_subquest_1162_10,d_subquest_1162,Choice,,,Locale_SubScenario:d_subquest_1162_10,False,,6,idle,,4,worry,,1,idle,,5,5,1.0,,d_subquest_1162_11,,,,,,
d_subquest_1162_11,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_11,True,,6,idle,,4,idle,,1,think,,5,1,2.0,,,,,,,,
d_subquest_1162_12,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_12,True,,6,idle,,4,idle,,1,think,,1,1,1.0,,,,,,,,
d_subquest_1162_13,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_13,False,,6,idle,,4,idle,,1,think,,1,1,1.0,,,,,,,,
d_subquest_1162_14,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_14,True,,6,idle,,4,idle,,1,idle,,1,1,1.0,,,,,,,,
d_subquest_1162_15,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_15,True,,6,idle,,4,void,,1,idle,,1,4,0.3,,,,,,,,
d_subquest_1162_16,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_16,True,,6,idle,,4,idle,,1,idle,,4,4,1.0,,,,,,,,
d_subquest_1162_17,d_subquest_1162,Narration,,Narration,Locale_SubScenario:d_subquest_1162_17,False,,6,idle,,4,idle,,1,idle,,black,black,1.0,none,,sfx_scn_remotesignal,,,,,
d_subquest_1162_18,d_subquest_1162,Monologue,,Monologue,Locale_SubScenario:d_subquest_1162_18,False,,6,idle,,4,idle,,1,idle,,4,1,1.0,bgm_story_destinedtofight,,,fx_Eventscene_camera_recording,rec,True,,
d_subquest_1162_19,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_19,False,,6,idle,,4,idle,,1,idle,,1,1,1.0,,,,,,,,
d_subquest_1162_20,d_subquest_1162,Narration,,Narration,Locale_SubScenario:d_subquest_1162_20,False,,6,idle,,4,idle,,1,idle,,1,1,1.0,,,sfx_scn_down,,,,Low_2,
d_subquest_1162_21,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_21,True,,6,idle,,4,idle,,1,angry,,1,10,0.5,,,,,,,,
d_subquest_1162_22,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_22,False,,6,idle,,4,idle,,1,angry,,10,10,1.0,,,,,,,,
d_subquest_1162_23,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_23,False,,6,idle,,4,idle,,1,angry,,10,10,1.0,,,,,,,,
d_subquest_1162_24,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_24,True,,6,idle,,4,idle,,1,idle,,10,10,1.0,,,,,,,,
d_subquest_1162_25,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_25,True,,6,idle,,4,idle,,1,idle,,10,10,1.0,,,,,,,,
d_subquest_1162_26,d_subquest_1162,Monologue,,Monologue,Locale_SubScenario:d_subquest_1162_26,False,,6,idle,,4,idle,,1,idle,,10,100,2.0,none,,,,,,,
d_subquest_1162_27,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_27,True,,6,idle,,4,no,,1,idle,,40,40,1.0,bgm_story_whosdumber,,,,,,,fx_Eventscene_camera_recording
d_subquest_1162_28,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_28,True,,6,idle,,4,no,,1,idle,,40,40,1.0,,,,,,,,
d_subquest_1162_29,d_subquest_1162,Speech,neon,neon,Locale_SubScenario:d_subquest_1162_29,True,,6,no,,4,no,,1,idle,,40,S_60,1.0,,,,,,,,
d_subquest_1162_30,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_30,False,,6,no,,4,no,,1,idle,,S_60,S_60,1.0,,,,,,,,
d_subquest_1162_31,d_subquest_1162,Speech,neon,neon,Locale_SubScenario:d_subquest_1162_31,True,,6,idle,,4,idle,,1,idle,,5,5,1.0,,,,,,,,
d_subquest_1162_32,d_subquest_1162,Speech,anis,anis,Locale_SubScenario:d_subquest_1162_32,True,,6,idle,,4,worry,,1,idle,,5,5,1.0,,,,,,,,
d_subquest_1162_33,d_subquest_1162,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1162_33,True,,6,idle,,4,worry,,1,think,,1,1,1.0,,,,,,,,
d_subquest_1162_34,d_subquest_1162,Self,,Self,Locale_SubScenario:d_subquest_1162_34,False,,6,idle,,4,idle,,1,think,,1,1,1.0,,,,,,,,
