id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,play_sound
d_main_36_06_1,d_main_36_06,Monologue,leviathan,Locale_MainScenario:d_main_36_06_1,False,rapi_red,6,idle,leviathan,4,idle,maxwell,2,idle,laplace,12,idle,cinderella,16,idle,grave_p,18,idle,Jungle2,S_40,S_40,1.0,bgm_story_empathize,,,,,,,,,
d_main_36_06_2,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_2,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,S_40,S_40,1.0,,leviathan,,,,,,,,
d_main_36_06_3,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_3,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,S_40,S_40,1.0,,leviathan,,,,,,,,
d_main_36_06_4,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_4,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,S_40,S_40,1.0,,leviathan,,,,,,,,
d_main_36_06_5,d_main_36_06,Speech,maxwell,Locale_MainScenario:d_main_36_06_5,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,S_40,3,1.3,,maxwell,,,,,,,,
d_main_36_06_6,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_6,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,leviathan,,,,,,,,
d_main_36_06_7,d_main_36_06,Speech,maxwell,Locale_MainScenario:d_main_36_06_7,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,maxwell,,,,,,,,
d_main_36_06_8,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_8,True,,6,idle,,4,idle,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,leviathan,,,,,,,,
d_main_36_06_9,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_9,True,,6,idle,,4,think_02,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,leviathan,,,,,,,,
d_main_36_06_10,d_main_36_06,Speech,maxwell,Locale_MainScenario:d_main_36_06_10,True,,6,idle,,4,think_02,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,maxwell,,,,,,,,
d_main_36_06_11,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_11,True,,6,idle,,4,think_02,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,leviathan,,,,,,,,
d_main_36_06_12,d_main_36_06,Speech,leviathan,Locale_MainScenario:d_main_36_06_12,True,,6,idle,,4,think_01,,2,idle,,12,idle,,16,idle,,18,idle,,3,3,1.0,,leviathan,,,,,,,,
