id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_09_01_1,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_1,True,Factory,,,,,,30,10,0,,,,100,bgm_heartdestroyer,,None,None,,None,False,anis,,3,idle,rapi,,1,idle,neon,,13,idle,exia_op,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_2,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_2,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,shifty_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_3,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_3,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_4,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_4,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_5,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_5,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_6,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_6,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_7,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_7,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_8,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_8,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_9,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_9,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,surprise,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_10,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_10,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_11,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_11,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,surprise,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_12,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_12,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,surprise,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_13,d_main_09_01,,Speech,neon,neon,Locale_MainScenario:d_main_09_01_13,True,,,,,,,10,S_130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,exia_op,OP_leftup,idle,,shifty_r,OP_rightup,surprise,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_14,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_14,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_15,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_15,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_16,d_main_09_01,,Speech,rapi,rapi,Locale_MainScenario:d_main_09_01_16,True,,,,,,,30,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_17,d_main_09_01,,Speech,rapi,rapi,Locale_MainScenario:d_main_09_01_17,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_18,d_main_09_01,,Speech,neon,neon,Locale_MainScenario:d_main_09_01_18,True,,,,,,,2,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_19,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_19,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,sad,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_20,d_main_09_01,,Speech,rapi,rapi,Locale_MainScenario:d_main_09_01_20,True,,,,,,,30,10,0,,,,100,,,None,None,,None,False,,,3,sad,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_21,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_21,True,,,,,,,10,2,0,,,,100,,,None,None,,None,False,,,3,worry,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_22,d_main_09_01,,Speech,rapi,rapi,Locale_MainScenario:d_main_09_01_22,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,void,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_23,d_main_09_01,,Speech,rapi,rapi,Locale_MainScenario:d_main_09_01_23,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,void,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_24,d_main_09_01,,Speech,rapi,rapi,Locale_MainScenario:d_main_09_01_24,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,void,,,1,think,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_25,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_25,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,worry,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_26,d_main_09_01,,Speech,neon,neon,Locale_MainScenario:d_main_09_01_26,True,,,,,,,2,12,0,,,,100,,,None,None,,None,False,,,3,void,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_27,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_27,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,worry,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_28,d_main_09_01,,Speech,neon,neon,Locale_MainScenario:d_main_09_01_28,True,,,,,,,S_130,S_130,0,,,,100,,,None,None,,None,False,,,3,worry,,,1,idle,,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_29,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_29,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,sad,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_30,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_30,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,void,,,1,idle,,,13,idle,,,,,shifty_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_31,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_31,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,void,,,1,idle,,,13,idle,,,,,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_32,d_main_09_01,,Speech,anis,anis,Locale_MainScenario:d_main_09_01_32,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_33,d_main_09_01,,Speech,exia_op,exia_op,Locale_MainScenario:d_main_09_01_33,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,exia_op,,OP_leftup,good,,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_09_01_34,d_main_09_01,,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_09_01_34,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,OP_leftup,idle,,,OP_rightup,no,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
