id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1271_1,d_subquest_1271,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1271_1,True,neon,3,idle,anis,1,void,rapi,13,idle,CityForest_01,12,12,1.0,bgm_recognition_underworld,
d_subquest_1271_2,d_subquest_1271,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1271_2,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,
d_subquest_1271_3,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_3,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,
d_subquest_1271_4,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_4,False,,3,idle,,1,void,,13,idle,,12,10,2.0,,
d_subquest_1271_5,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_5,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,
d_subquest_1271_6,d_subquest_1271,Speech,neon,neon,Locale_SubScenario:d_subquest_1271_6,True,,3,idle,,1,worry,,13,idle,,10,2,1.0,,
d_subquest_1271_7,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_7,True,,3,idle,,1,void,,13,idle,,2,2,1.0,,
d_subquest_1271_8,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_8,True,,3,idle,,1,void,,13,idle,,2,2,1.0,,
d_subquest_1271_9,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_9,True,,3,idle,,1,worry,,13,idle,,2,1,2.0,,
d_subquest_1271_10,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_10,True,,3,idle,,1,worry,,13,idle,,1,1,1.0,,
d_subquest_1271_11,d_subquest_1271,Self,anis,Self,Locale_SubScenario:d_subquest_1271_11,False,,3,idle,,1,worry,,13,idle,,1,1,1.0,,
d_subquest_1271_12,d_subquest_1271,Speech,neon,neon,Locale_SubScenario:d_subquest_1271_12,True,,3,no,,1,worry,,13,idle,,1,2,1.0,,
d_subquest_1271_13,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_13,True,,3,no,,1,worry,,13,idle,,2,2,1.0,,
d_subquest_1271_14,d_subquest_1271,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1271_14,False,,3,idle,,1,worry,,13,think,,2,12,2.0,,
d_subquest_1271_15,d_subquest_1271,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1271_15,True,,3,idle,,1,worry,,13,think,,12,12,1.0,,
d_subquest_1271_16,d_subquest_1271,Narration,,Narration,Locale_SubScenario:d_subquest_1271_16,False,,3,idle,,1,void,,13,idle,CityForest_03,black,black,1.0,,
d_subquest_1271_17,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_17,True,,3,idle,,1,void,,13,idle,,1,1,1.0,,
d_subquest_1271_18,d_subquest_1271,Speech,neon,neon,Locale_SubScenario:d_subquest_1271_18,True,,3,surprise,,1,void,,13,idle,,1,2,1.0,,
d_subquest_1271_19,d_subquest_1271,Speech,neon,neon,Locale_SubScenario:d_subquest_1271_19,True,,3,surprise,,1,void,,13,idle,,2,2,1.0,,
d_subquest_1271_20,d_subquest_1271,Narration,,Narration,Locale_SubScenario:d_subquest_1271_20,False,,3,surprise,,1,void,,13,idle,,black,black,1.0,,sfx_scn_paperopen
d_subquest_1271_21,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_21,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,
d_subquest_1271_22,d_subquest_1271,Self,anis,Self,Locale_SubScenario:d_subquest_1271_22,False,,3,idle,,1,no,,13,idle,,2,2,1.0,,
d_subquest_1271_23,d_subquest_1271,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1271_23,True,,3,idle,,1,void,,13,idle,,2,12,1.0,,
d_subquest_1271_24,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_24,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,
d_subquest_1271_25,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_25,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,
d_subquest_1271_26,d_subquest_1271,Speech,anis,anis,Locale_SubScenario:d_subquest_1271_26,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,
d_subquest_1271_27,d_subquest_1271,Self,anis,Self,Locale_SubScenario:d_subquest_1271_27,False,,3,idle,,1,void,,13,idle,,12,12,1.0,,
