id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_filter_01,set_filter_02,characters/5/hide_char_id,fade
d_main_06_01_1,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_1,True,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle,MachineRoom,1,10,3.0,bgm_mystery,,,,,,,,,,,,,
d_main_06_01_2,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_2,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,100,1.0,,,,,,,,,,,,,,
d_main_06_01_3,d_main_06_01,Speech,rapi,rapi,Locale_MainScenario:d_main_06_01_3,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,100,113,1.0,,,,,,,,,,,,,,
d_main_06_01_4,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_4,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,,,,,,,,,,,
d_main_06_01_5,d_main_06_01,Speech,anis,anis,Locale_MainScenario:d_main_06_01_5,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,113,15,1.0,,,,,,,,,,,,,,
d_main_06_01_6,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_6,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,15,1,1.0,,,,,,,,,,,,,,
d_main_06_01_7,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_7,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1,1,1.0,,,,,,,,,,,,,,
d_main_06_01_8,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_8,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1,1,1.0,,,,,,,,,,,,,,
d_main_06_01_9,d_main_06_01,Speech,neon,neon,Locale_MainScenario:d_main_06_01_9,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,1,17,0.5,,,,,,,,,,,,,,
d_main_06_01_10,d_main_06_01,Narration,neon,Narration,Locale_MainScenario:d_main_06_01_10,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,17,S_1700,0.2,,sfx_scn_aim,,,,,,,,,,,,
d_main_06_01_11,d_main_06_01,Speech,neon,neon,Locale_MainScenario:d_main_06_01_11,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,S_1700,S_1700,1.0,,,,,,,,,,,,,,
d_main_06_01_12,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_12,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,S_1700,S_1700,1.0,,,,,,,,,,,,,,
d_main_06_01_13,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_13,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,no,,S_1700,S_1700,1.0,,,,,,,,,,,,,,
d_main_06_01_14,d_main_06_01,Speech,neon,neon,Locale_MainScenario:d_main_06_01_14,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,S_1700,17,1.0,,,,,,,,,,,,,,
d_main_06_01_15,d_main_06_01,Self,neon,Self,Locale_MainScenario:d_main_06_01_15,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,worry,,17,17,1.0,,,,,,,,,,,,,,
d_main_06_01_16,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_16,False,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,,,,,,
d_main_06_01_17,d_main_06_01,Speech,mustang,mustang,Locale_MainScenario:d_main_06_01_17,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,ElevatorOut,L_50,L_50,1.0,bgm_story_mustang,,alice,ludmilla,rapi,anis,neon,mustang,5,idle,Grey,Blur_Low,,
d_main_06_01_18,d_main_06_01,Speech,mustang,mustang,Locale_MainScenario:d_main_06_01_18,True,,,,,,,,,,,,,,,,,L_50,L_50,1.0,,,,,,,,,5,idle,Grey,Blur_Low,,
d_main_06_01_19,d_main_06_01,Speech,mustang,mustang,Locale_MainScenario:d_main_06_01_19,True,,,,,,,,,,,,,,,,,L_50,L_500,1.0,,,,,,,,,5,idle,Grey,Blur_Low,,
d_main_06_01_20,d_main_06_01,Speech,mustang,mustang,Locale_MainScenario:d_main_06_01_20,True,,,,,,,,,,,,,,,,,L_500,L_500,1.0,,,,,,,,,5,idle,Grey,Blur_Low,,
d_main_06_01_21,d_main_06_01,Self,,Self,Locale_MainScenario:d_main_06_01_21,False,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle,MachineRoom,black,black,1.0,,,,,,,,,5,idle,,,mustang,
d_main_06_01_22,d_main_06_01,Speech,anis,anis,Locale_MainScenario:d_main_06_01_22,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,15,15,1.0,,,,,,,,,,,,,,
d_main_06_01_23,d_main_06_01,Self,anis,Self,Locale_MainScenario:d_main_06_01_23,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,15,15,1.0,,,,,,,,,,,,,,
d_main_06_01_24,d_main_06_01,Speech,neon,neon,Locale_MainScenario:d_main_06_01_24,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,15,16,1.0,,,,,,,,,,,,,,
d_main_06_01_25,d_main_06_01,Speech,rapi,rapi,Locale_MainScenario:d_main_06_01_25,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,16,16,1.0,,,,,,,,,,,,,,
d_main_06_01_26,d_main_06_01,Speech,anis,anis,Locale_MainScenario:d_main_06_01_26,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,idle,,16,16,1.0,,,,,,,,,,,,,,
d_main_06_01_27,d_main_06_01,Speech,neon,neon,Locale_MainScenario:d_main_06_01_27,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,no,,16,16,1.0,,,,,,,,,,,,,,
d_main_06_01_28,d_main_06_01,Speech,anis,anis,Locale_MainScenario:d_main_06_01_28,True,,3,idle,,1,idle,,13,idle,,15,sad,,17,no,,16,16,1.0,,,,,,,,,,,,,,
d_main_06_01_29,d_main_06_01,Speech,rapi,rapi,Locale_MainScenario:d_main_06_01_29,False,,3,idle,,1,idle,,13,idle,,15,sad,,17,no,,16,16,1.0,,,,,,,,,,,,,,
d_main_06_01_30,d_main_06_01,Speech,alice,alice,Locale_MainScenario:d_main_06_01_30,True,,3,surprise,,1,idle,,13,idle,,15,sad,,17,no,,31,31,1.0,,,,,,,,,,,,,,
d_main_06_01_31,d_main_06_01,Speech,alice,alice,Locale_MainScenario:d_main_06_01_31,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,31,31,1.0,,,,,,,,,,,,,,
d_main_06_01_32,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_32,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,31,31,1.0,,,,,,,,,,,,,,
d_main_06_01_33,d_main_06_01,Narration,ludmilla,Narration,Locale_MainScenario:d_main_06_01_33,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,black,black,1.0,,,,,,,,,,,,,,
d_main_06_01_34,d_main_06_01,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_01_34,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,10,100,0.2,,,,,,,,,,,,,,
d_main_06_01_35,d_main_06_01,Speech,alice,alice,Locale_MainScenario:d_main_06_01_35,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,S_30,S_300,0.2,,,,,,,,,,,,,,
d_main_06_01_36,d_main_06_01,Narration,alice,Narration,Locale_MainScenario:d_main_06_01_36,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,black,black,1.0,,,,,,,,,,,,,,black
d_main_06_01_37,d_main_06_01,Monologue,alice,,Locale_MainScenario:d_main_06_01_37,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,13,13,1.0,,,,,,,,,,,,,,
d_main_06_01_38,d_main_06_01,Monologue,alice,,Locale_MainScenario:d_main_06_01_38,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,13,13,1.0,,,,,,,,,,,,,,
d_main_06_01_39,d_main_06_01,Self,Self,Self,Locale_MainScenario:d_main_06_01_39,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,13,13,1.0,,,,,,,,,,,,,,
d_main_06_01_40,d_main_06_01,Speech,rapi,rapi,Locale_MainScenario:d_main_06_01_40,True,,3,delight,,1,idle,,13,idle,,15,sad,,17,no,,13,130,1.0,,,,,,,,,,,,,,
